"","site","Tmin","Tmax","Prcp"
"1","ADO",2.27577486044843,15.6174900402342,528.627716894977
"2","ALU",1.67303375911473,14.6311910353392,570.05426369863
"3","BAS",5.70127075807153,16.5245499779363,904.410319634703
"4","CED",2.79408613812247,14.7599454368833,523.820639269406
"5","COR",3.52622753169327,16.3028196490591,452.753630136986
"6","FAG",4.38936681955728,15.2635915851711,958.142849315068
"7","GUA",5.65103377058172,14.5341757024209,655.276849315068
"8","NAV",8.72162665632667,19.9142603392268,360.795429638854
"9","OZA",3.63253499821064,13.2108900141201,1023.48356164384
"10","PEL",8.11917951060647,19.2946696814112,377.878630136986
"11","RON",5.47096870100399,15.8651950396172,964.818219178082
"12","SAR",5.52767881588217,15.766860648047,978.146301369863
"13","TRA",2.17226272370891,15.3857047108973,535.702739726027
"14","URZ",3.35278022067793,13.7959437924461,1081.36431506849
