"","variable","delta_aic","estimate_cold","estimate_hot","ci_upper_hot","ci_upper_cold","ci_lower_cold","ci_lower_hot"
"1","height",-0.16772325302486,30.0432907452656,-4.71089559162735,38.6517126699814,43.3710765785694,16.7261421655154,11.9960956180449
"2","dbh",0.374301159980291,60.9811508210498,-13.7851276398681,80.0327778896482,94.0017877257328,27.9180327325545,14.2989148166629
"3","hegyi_index",-1.99172717027761,15.5273137412374,-0.316558616032612,29.9217208389502,31.2734149346526,-0.172201216962057,0.0571702971207984
"4","wc_22",-1.8946487524928,50.5565812116719,-0.94221431503056,62.0190653045753,62.9698782179905,38.1470914261234,37.2346833300262
"5","percent_c",-0.430003978962702,47.9395039476298,-0.45565530055766,48.8831699085273,49.3464204445948,46.5325874506648,46.1074452118749
"6","percent_n",-1.99823411416016,1.16609362603458,-0.00246002250942611,1.41396878395293,1.41838550354836,0.913801748520809,0.912880910451589
"7","cn",-1.97249556370934,41.8706970213463,-0.360986043126523,50.8231961726926,51.2358102865808,32.5055837561109,32.2258173889815
"8","sla_22",-0.941124660825835,56.5885867086453,-11.8480997258639,91.0258237150935,102.905052027885,10.2800029558476,-1.54243199194489
"9","age",-1.32673937421498,93.284551649867,-11.9247638185109,142.99419051173,155.56571267757,32.5143583032353,19.5682951498907
"10","chlor_a_fw_22",-1.02579714127523,1049.9264762801,-136.01704131311,1471.27705189233,1610.24832837087,489.604624189316,354.575046964551
"11","chlor_b_fw_22",-1.2458574920563,483.251564677151,-36.7111160496885,619.96383957914,658.360183240013,308.142946114297,271.980608346507
"12","total_chl_fw_22",-0.911823835939458,1533.17804095726,-172.351241872088,2024.73784922918,2201.96412290954,864.391959004978,693.431201241846
"13","xc_fw_22",-1.99633089582449,53.9963801673003,-0.111867517156678,61.751166667493,62.1497030365128,45.8430572980877,45.7653414885479
"14","chla_chlb_22",-1.53528311182338,2.20240060664296,-0.176107053748786,3.10498509631738,3.2824561553075,1.12234505797834,0.947115777091398
"15","chl_xc_22",-0.20688646477879,28.2163214237477,-3.04324648794293,33.8836969813673,36.9538628278868,19.478780019607,16.4435171787193
"16","leaf_d13c",0.675310104490677,-29.2693405947913,0.788888787441826,-26.7187558773284,-27.5009586525467,-31.037722537036,-30.2253663508239
"17","leaf_d15n",-1.01432374600392,-3.88354675856007,0.777575948685013,0.0583413914559143,-0.710384444128572,-7.05670907299151,-6.26502045293663
"18","leaf_d18o_corrected",-1.99496203378652,19.6848074717388,-0.0752429869356314,24.1650488677933,24.2496631388066,15.1199518046704,15.0478177240421
"19","mean_1980",9.43519330245408,2311.43595,-1356.09842368421,1756.15996221687,3596.96695258514,1025.90494741485,154.51509041471
"20","mean_05",5.37078553292395,1262.31853846154,-523.164916839916,1348.07822973017,2168.22883060435,356.408246318721,130.229013513078
"21","Rt12",-1.93004568276045,0.797246709168865,0.0274824772821643,1.26818111816536,1.24286202299619,0.355328500166196,0.379619693189871
"22","Rt17",-1.99949428690764,0.894929673406169,-0.00178697832355644,1.238125001357,1.2461777891683,0.554838983570871,0.547662532681801
"23","Rt22",-1.9832081542323,0.62490879539513,-0.0105003257835232,0.963856830211912,0.978615850534432,0.277392226261425,0.265512440832387
"24","Rs12",-0.674881661174617,0.844941715325025,0.0864565597371615,1.24858411759249,1.16151875672094,0.509828326701106,0.60807729711467
"25","Rs17",-1.88681197120057,0.869763238743762,0.0295372616695414,1.28641343765538,1.27251976355081,0.482881948957942,0.521783894120157
