"","full_model","null_model","variable","delta_aic"
"1",316.936703918372,316.130499702295,"height",0.80620421607756
"2",473.322927860596,472.708768986195,"dbh",0.614158874400971
"3",531.956990573489,531.222505174995,"hegyi_index",0.734485398494257
"4",250.745216932544,249.239259203004,"wc_22",1.5059577295398
"5",241.141925582243,239.480728864063,"percent_c",1.66119671818024
"6",-73.5422844548142,-72.7440524543241,"percent_n",-0.798232000490074
"7",421.677577238744,422.441410017429,"cn",-0.76383277868473
"8",302.214312135023,300.687247451883,"sla_22",1.52706468314005
"9",626.820310951787,626.210655967352,"age",0.609654984434997
"10",799.623694654578,805.688959985912,"chlor_a_fw_22",-6.06526533133479
"11",686.994864660442,693.633629475367,"chlor_b_fw_22",-6.63876481492548
"12",842.738415107195,849.276764322852,"total_chl_fw_22",-6.53834921565681
"13",397.578396735641,398.455051639763,"xc_fw_22",-0.876654904121665
"14",-3.83772044835735,-3.95955408437282,"chla_chlb_22",0.121833636015463
"15",315.395802906787,326.268089827475,"chl_xc_22",-10.8722869206886
"16",-22.5938489355152,-20.694805116905,"d13c_centered",-1.89904381861018
"17",-20.8003172968467,-17.2687203305341,"d15n_centered",-3.53159696631258
"18",-34.1525485073616,-35.6158096308579,"d18o_centered",1.46326112349629
"19",946.592719950888,944.594410480594,"mean_1980",1.9983094702942
"20",954.208224712377,954.927598311215,"mean_05",-0.719373598837933
"21",-51.4864660783267,-52.5858540785333,"Rt12",1.09938800020657
"22",-65.8475697700564,-66.4083906445491,"Rt17",0.560820874492748
"23",65.2001813354118,71.0919875841529,"Rt22",-5.89180624874102
"24",-11.7773237781451,-13.7219117918293,"Rs12",1.94458801368416
"25",-30.2920639876922,-31.0573326034746,"Rs17",0.765268615782414
