"","variable","delta_aic","estimate_healthy","estimate_damaged","ci_upper_damaged","ci_upper_healthy","ci_lower_healthy","ci_lower_damaged"
"1","height",4.05554023593737,24.0556001785107,2.83292637198244,53.0975352100192,51.9624470397217,-3.84286028012483,0.611420302056821
"2","dbh",2.04174811635244,43.9894916243457,6.98770120821912,103.920113038583,101.150348486374,-13.1006128724744,-2.2430766450677
"3","hegyi_index",-1.24403702443749,13.9647424464495,1.90445210534521,62.4538007143034,62.2481152235886,-34.3396385774605,-30.8904803338059
"4","wc_22",-1.11061784884583,50.1849709895318,-1.27811846022055,77.3069843374017,80.5648632122296,19.7941536559463,20.5954326216254
"5","percent_c",-1.7553614693463,47.5695694197657,-0.176723074421947,50.098574384722,50.6292685984683,44.5043734410373,44.7317523221753
"6","percent_n",-1.43049892727155,1.17946979521476,-0.0310587126221756,1.24328672741471,1.26748821089006,1.09145137953945,1.05353543777046
"7","cn",-1.80353407450872,41.1311575216933,0.675077802822354,48.4872959694238,48.4544374466214,33.7752519398698,35.3900950135972
"8","sla_22",0.889985782025576,46.3201183377234,-3.58459590010254,47.5441416507602,50.7811899385528,41.8590467368941,37.9269032244816
"9","age",9.51035311133199,73.3682891478835,20.6513195241341,123.283917191293,115.191602942375,30.9525610799881,64.5736264422317
"10","chlor_a_fw_22",-1.99621313693694,911.392577283821,3.13836277430932,2746.9372136765,2810.34215105083,-987.283676859832,-920.094688901644
"11","chlor_b_fw_22",-1.94581988097832,443.822150670827,4.32285157699488,980.493129519362,1002.79680026951,-115.033343490458,-85.1706671753699
"12","total_chl_fw_22",-1.98852507591221,1355.24827477106,7.15526738570652,3750.29360562089,3830.51060901732,-1119.65458760573,-1028.40543288741
"13","xc_fw_22",-1.96320821084799,53.5484144288371,0.412777525294808,71.0857647756181,73.2225447525745,33.9061588544954,36.5777961675528
"14","chla_chlb_22",-1.93496572693978,2.03488187021786,-0.0164682754243569,3.45656681569614,3.57153002029451,0.498733058212885,0.576205748749347
"15","chl_xc_22",-1.85021804283286,25.2940002807924,-0.284956390625232,58.1299182652383,59.2605931136005,-8.66933475761107,-8.13828377545086
"16","leaf_d13c",-0.846385446090267,-28.3270908495749,-0.322018092028116,-24.1480384301419,-23.3969698971266,-33.2602356409154,-33.1256258812559
"17","leaf_d15n",-1.49667483128354,-3.01464584482573,-0.21678330736193,-0.0757612286450113,0.521696557407402,-6.55489336940596,-6.3553874822721
"18","leaf_d18o_corrected",-1.99999995738725,19.6059566595594,5.34876971557136e-05,36.2307739924026,36.4625842771794,2.75016496322036,2.9744586212916
"19","mean_1980",-1.14982838600463,866.181730863848,168.720613267733,2405.35870881852,2748.34425184465,-1031.80743828658,-340.407525994047
"20","mean_05",-0.31265007876641,792.995200272739,-168.95424009351,1227.471872891,1714.9562600316,-143.415644646361,11.1144743621537
"21","Rt12",2.25045915155378,0.789473176653402,0.0929301307735185,1.753793919434,1.8330645092809,-0.256220251724689,0.00963131821230612
"22","Rt17",-1.97236285069857,0.897780662847771,-0.00905580431331015,0.999274791137253,1.04360695731889,0.751954368376656,0.778174925931669
"23","Rt22",2.47080746195296,0.6459116649951,-0.0918296723734714,0.642955182391545,0.756069240119859,0.535754089870342,0.465208802851713
"24","Rs12",-1.99658499904066,0.93270163383311,0.0040689903536039,1.16072043090429,1.27255048416645,0.582733315323052,0.706170881238727
"25","Rs17",-1.84587446675615,0.884278956476211,0.0380624548890901,1.36470898757268,1.57199172621044,0.205875471048217,0.491789465238922
