"","full_model","null_model","variable","delta_aic"
"1",592.656550085242,592.564871787211,"height",0.0916782980315247
"2",872.622726936602,872.422569732605,"dbh",0.200157203996696
"3",838.658433211398,838.228522069776,"hegyi_index",0.429911141622028
"4",624.037466232367,623.947613145833,"wc_22",0.0898530865346174
"5",356.751671857157,356.294538183966,"percent_c",0.457133673191152
"6",-108.345361520398,-108.476154131773,"percent_n",0.130792611375426
"7",689.635177625269,689.495887853997,"cn",0.13928977127182
"8",806.837898901885,806.78795708252,"sla_22",0.0499418193649035
"9",747.066567128162,747.077146147871,"age",-0.0105790197094393
"10",1506.88991472039,1506.77456033182,"chlor_a_fw_22",0.115354388572996
"11",1321.03374155216,1320.90659336689,"chlor_b_fw_22",0.127148185270698
"12",1579.13767457365,1578.99791910865,"total_chl_fw_22",0.139755464998416
"13",804.53175616245,802.948824244635,"xc_fw_22",1.58293191781536
"14",-6.32130378697401,-6.36061667851723,"chla_chlb_22",0.0393128915432204
"15",527.000936790959,526.90300029379,"chl_xc_22",0.0979364971690302
"16",-65.1987718706822,-65.5598428744982,"d13c_centered",0.361071003816036
"17",-95.6466488079023,-95.791520819995,"d15n_centered",0.144872012092662
"18",-92.0645775266441,-92.1033260711363,"d18o_centered",0.0387485444921509
"19",1294.91305885254,1297.23101432884,"mean_1980",-2.31795547629986
"20",1213.04464386913,1216.37220854543,"mean_05",-3.3275646763002
"21",-83.2388593969914,-83.3904408588675,"Rt12",0.151581461876063
"22",-38.5445903096474,-38.7096718326844,"Rt17",0.165081523036967
"23",-74.2694763460663,-74.3428445318872,"Rt22",0.073368185820911
"24",1.70873696890429,1.4922193442277,"Rs12",0.216517624676591
"25",19.054728608958,18.5017610810235,"Rs17",0.552967527934538
