"","site","year","Tmin","Tmax","Prcp"
"1","ADO",1950,3.60965296803653,15.7830502283105,333.81
"2","ADO",1951,2.52506849315068,13.4653698630137,639.446666666667
"3","ADO",1952,2.32614754098361,14.9015300546448,497.426666666667
"4","ADO",1953,3.22819178082192,15.2842557077626,332.026666666667
"5","ADO",1954,2.86587214611872,14.7796073059361,376.87
"6","ADO",1955,4.60396347031963,15.4800821917808,622.333333333333
"7","ADO",1956,2.16281420765027,13.5581785063752,480.503333333333
"8","ADO",1957,2.91359817351598,14.8305936073059,500.923333333333
"9","ADO",1958,3.87956164383562,14.9285936073059,433.86
"10","ADO",1959,4.10652054794521,14.2796621004566,718.113333333333
"11","ADO",1960,3.73335154826958,14.3514116575592,720.663333333333
"12","ADO",1961,2.12489497716895,16.5266392694064,516.143333333333
"13","ADO",1962,1.57508675799087,15.3599543378995,560.786666666667
"14","ADO",1963,1.35744292237443,14.1465936073059,699.363333333333
"15","ADO",1964,1.43940801457195,15.9337887067395,511.003333333333
"16","ADO",1965,1.45370776255708,14.957397260274,563.866666666667
"17","ADO",1966,2.07799086757991,15.1440547945205,598.493333333333
"18","ADO",1967,0.99737899543379,15.5758812785388,444.216666666667
"19","ADO",1968,1.72939890710383,15.2725591985428,514.93
"20","ADO",1969,1.30738812785388,13.390301369863,851.636666666667
"21","ADO",1970,0.746502283105023,15.057899543379,514.543333333333
"22","ADO",1971,0.764301369863014,13.4769132420091,799.82
"23","ADO",1972,1.24532786885246,13.136839708561,654.336666666667
"24","ADO",1973,0.908547945205479,14.9568767123288,448.83
"25","ADO",1974,1.30730593607306,14.4251780821918,567.433333333333
"26","ADO",1975,1.25602739726027,14.5541826484018,645.88
"27","ADO",1976,1.09520947176685,14.4675409836066,637.096666666667
"28","ADO",1977,1.77208219178082,14.3149863013699,684.84
"29","ADO",1978,1.07285844748858,14.8311141552511,492.76
"30","ADO",1979,2.09224657534247,14.8166757990868,680.276666666667
"31","ADO",1980,0.865765027322404,15.202131147541,459.616666666667
"32","ADO",1981,1.2713698630137,16.2311780821918,435.663333333333
"33","ADO",1982,2.35164383561644,15.5156621004566,573.346666666667
"34","ADO",1983,1.72526940639269,16.443397260274,350.68
"35","ADO",1984,1.26568306010929,14.313233151184,585.293333333333
"36","ADO",1985,2.29018264840183,15.660401826484,431.13
"37","ADO",1986,2.18001826484018,15.1042922374429,581.923333333333
"38","ADO",1987,2.87992694063927,15.8049223744292,531.836666666667
"39","ADO",1988,1.96734061930783,15.6493624772313,589.796666666667
"40","ADO",1989,3.02792694063927,16.3643287671233,589.686666666667
"41","ADO",1990,2.63251141552511,16.3312876712329,414.973333333333
"42","ADO",1991,1.92339726027397,15.1517260273973,517.54
"43","ADO",1992,1.39700364298725,15.5764936247723,397.866666666667
"44","ADO",1993,1.08949771689498,15.1748858447489,471.45
"45","ADO",1994,2.49803652968037,17.0956347031963,359.503333333333
"46","ADO",1995,2.23435616438356,16.6458356164384,462.7
"47","ADO",1996,1.99504553734062,15.3204098360656,659.676666666667
"48","ADO",1997,2.91892237442922,16.5132602739726,610.646666666667
"49","ADO",1998,2.09213698630137,16.0784931506849,458.896666666667
"50","ADO",1999,2.06651141552511,15.6018630136986,541.156666666667
"51","ADO",2000,1.73325136612022,16.330956284153,470.97
"52","ADO",2001,2.15377168949772,16.0587945205479,339.116666666667
"53","ADO",2002,2.90112328767123,15.996803652968,628.01
"54","ADO",2003,3.00185388127854,16.2910867579909,596.79
"55","ADO",2004,2.09316029143898,15.9116393442623,513.833333333333
"56","ADO",2005,1.61200913242009,16.5181369863014,355.88
"57","ADO",2006,3.22630136986301,17.0641826484018,507.92
"58","ADO",2007,1.97890410958904,16.070401826484,454.41
"59","ADO",2008,2.26642076502732,15.5654007285974,647.85
"60","ADO",2009,3.04693150684932,17.2250502283105,434.02
"61","ADO",2010,2.57846575342466,15.2294429223744,657.786666666667
"62","ADO",2011,3.0708401826484,17.3941278538813,446.516666666667
"63","ADO",2012,2.26130236794171,16.6077686703097,420.83
"64","ADO",2013,2.2871598173516,15.3084474885845,577.353333333333
"65","ADO",2014,3.43623744292237,16.6939360730594,527.306666666667
"66","ADO",2015,3.20359817351598,17.6516529680365,410.766666666667
"67","ADO",2016,3.11982695810565,16.8845446265938,482.97
"68","ADO",2017,2.72759817351598,18.1938264840183,338.71
"69","ADO",2018,3.33779908675799,16.1097168949772,727.703333333333
"70","ADO",2019,2.78413698630137,17.3046118721461,424.596666666667
"71","ADO",2020,3.51905282331512,17.1874225865209,563.253333333333
"72","ADO",2021,2.90280365296804,16.4950502283105,572.903333333333
"73","ADO",2022,3.93862100456621,18.2172602739726,424.71
"74","ALU",1950,2.80971917808219,14.7725342465753,343.71
"75","ALU",1951,1.74119178082192,12.4711815068493,688.14375
"76","ALU",1952,1.62498975409836,13.9305737704918,531.1375
"77","ALU",1953,2.48266095890411,14.3573630136986,360.19375
"78","ALU",1954,2.14396232876712,13.8749075342466,402.60125
"79","ALU",1955,3.86725342465753,14.5467465753425,671.92375
"80","ALU",1956,1.38751024590164,12.6123633879781,505.2975
"81","ALU",1957,2.16620205479452,13.8742534246575,524.35375
"82","ALU",1958,3.06418835616438,13.9263835616438,473.645
"83","ALU",1959,3.28417465753425,13.2697671232877,757.14
"84","ALU",1960,2.90931010928962,13.364518442623,766.0675
"85","ALU",1961,1.46352739726027,15.5149280821918,565.19625
"86","ALU",1962,0.892441780821918,14.3866301369863,605.435
"87","ALU",1963,0.67697602739726,13.1743082191781,763.15375
