"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"67","Pinpine_coldspot","Pinpine_hotspot",NA,"sla_22","resp"
"68","Pinpine_hotspot","Pinpine_hotspot",NA,"sla_22","resp"
"69","Pinsylv_coldspot","Pinpine_hotspot",0.122546505047833,"sla_22","resp"
"70","Pinsylv_hotspot","Pinpine_hotspot",0.164117022243878,"sla_22","resp"
"71","Abialba_hotspot","Pinsylv_coldspot",NA,"sla_22","resp"
"72","Pinpine_coldspot","Pinsylv_coldspot",NA,"sla_22","resp"
"73","Pinpine_hotspot","Pinsylv_coldspot",NA,"sla_22","resp"
"74","Pinsylv_coldspot","Pinsylv_coldspot",NA,"sla_22","resp"
"75","Pinsylv_hotspot","Pinsylv_coldspot",1,"sla_22","resp"
"76","Abialba_hotspot","Abialba_coldspot",1,"chl_fw_22","resp"
"77","Pinpine_coldspot","Abialba_coldspot",1,"chl_fw_22","resp"
"78","Pinpine_hotspot","Abialba_coldspot",1,"chl_fw_22","resp"
"79","Pinsylv_coldspot","Abialba_coldspot",1,"chl_fw_22","resp"
"80","Pinsylv_hotspot","Abialba_coldspot",1,"chl_fw_22","resp"
"81","Abialba_hotspot","Abialba_hotspot",NA,"chl_fw_22","resp"
"82","Pinpine_coldspot","Abialba_hotspot",1,"chl_fw_22","resp"
"83","Pinpine_hotspot","Abialba_hotspot",0.159221469454868,"chl_fw_22","resp"
"84","Pinsylv_coldspot","Abialba_hotspot",1,"chl_fw_22","resp"
"85","Pinsylv_hotspot","Abialba_hotspot",1,"chl_fw_22","resp"
"86","Abialba_hotspot","Pinpine_coldspot",NA,"chl_fw_22","resp"
"87","Pinpine_coldspot","Pinpine_coldspot",NA,"chl_fw_22","resp"
"88","Pinpine_hotspot","Pinpine_coldspot",1,"chl_fw_22","resp"
"89","Pinsylv_coldspot","Pinpine_coldspot",1,"chl_fw_22","resp"
"90","Pinsylv_hotspot","Pinpine_coldspot",1,"chl_fw_22","resp"
"91","Abialba_hotspot","Pinpine_hotspot",NA,"chl_fw_22","resp"
"92","Pinpine_coldspot","Pinpine_hotspot",NA,"chl_fw_22","resp"
"93","Pinpine_hotspot","Pinpine_hotspot",NA,"chl_fw_22","resp"
"94","Pinsylv_coldspot","Pinpine_hotspot",1,"chl_fw_22","resp"
"95","Pinsylv_hotspot","Pinpine_hotspot",1,"chl_fw_22","resp"
"96","Abialba_hotspot","Pinsylv_coldspot",NA,"chl_fw_22","resp"
"97","Pinpine_coldspot","Pinsylv_coldspot",NA,"chl_fw_22","resp"
"98","Pinpine_hotspot","Pinsylv_coldspot",NA,"chl_fw_22","resp"
"99","Pinsylv_coldspot","Pinsylv_coldspot",NA,"chl_fw_22","resp"
"100","Pinsylv_hotspot","Pinsylv_coldspot",1,"chl_fw_22","resp"
"101","Abialba_hotspot","Abialba_coldspot",0.179480300219997,"chlor_a_fw_22","resp"
"102","Pinpine_coldspot","Abialba_coldspot",6.79712499592511e-10,"chlor_a_fw_22","resp"
"103","Pinpine_hotspot","Abialba_coldspot",4.51846901276436e-19,"chlor_a_fw_22","resp"
"104","Pinsylv_coldspot","Abialba_coldspot",7.62643936137937e-06,"chlor_a_fw_22","resp"
"105","Pinsylv_hotspot","Abialba_coldspot",2.5329126385216e-11,"chlor_a_fw_22","resp"
"106","Abialba_hotspot","Abialba_hotspot",NA,"chlor_a_fw_22","resp"
"107","Pinpine_coldspot","Abialba_hotspot",6.23567942484747e-09,"chlor_a_fw_22","resp"
"108","Pinpine_hotspot","Abialba_hotspot",3.56274161303101e-17,"chlor_a_fw_22","resp"
"109","Pinsylv_coldspot","Abialba_hotspot",0.12072215865947,"chlor_a_fw_22","resp"
"110","Pinsylv_hotspot","Abialba_hotspot",0.00010313795772,"chlor_a_fw_22","resp"
"111","Abialba_hotspot","Pinpine_coldspot",NA,"chlor_a_fw_22","resp"
"112","Pinpine_coldspot","Pinpine_coldspot",NA,"chlor_a_fw_22","resp"
"113","Pinpine_hotspot","Pinpine_coldspot",1,"chlor_a_fw_22","resp"
"114","Pinsylv_coldspot","Pinpine_coldspot",7.19076025632079e-10,"chlor_a_fw_22","resp"
"115","Pinsylv_hotspot","Pinpine_coldspot",2.96105013137342e-10,"chlor_a_fw_22","resp"
"116","Abialba_hotspot","Pinpine_hotspot",NA,"chlor_a_fw_22","resp"
"117","Pinpine_coldspot","Pinpine_hotspot",NA,"chlor_a_fw_22","resp"
"118","Pinpine_hotspot","Pinpine_hotspot",NA,"chlor_a_fw_22","resp"
"119","Pinsylv_coldspot","Pinpine_hotspot",1.04034338375613e-21,"chlor_a_fw_22","resp"
"120","Pinsylv_hotspot","Pinpine_hotspot",7.13410922389195e-22,"chlor_a_fw_22","resp"
"121","Abialba_hotspot","Pinsylv_coldspot",NA,"chlor_a_fw_22","resp"
"122","Pinpine_coldspot","Pinsylv_coldspot",NA,"chlor_a_fw_22","resp"
"123","Pinpine_hotspot","Pinsylv_coldspot",NA,"chlor_a_fw_22","resp"
"124","Pinsylv_coldspot","Pinsylv_coldspot",NA,"chlor_a_fw_22","resp"
"125","Pinsylv_hotspot","Pinsylv_coldspot",0.341801809323293,"chlor_a_fw_22","resp"
"126","Abialba_hotspot","Abialba_coldspot",1,"chlor_b_fw_22","resp"
"127","Pinpine_coldspot","Abialba_coldspot",1.07654740642251e-09,"chlor_b_fw_22","resp"
"128","Pinpine_hotspot","Abialba_coldspot",2.01651688519834e-19,"chlor_b_fw_22","resp"
"129","Pinsylv_coldspot","Abialba_coldspot",5.33591845711258e-10,"chlor_b_fw_22","resp"
"130","Pinsylv_hotspot","Abialba_coldspot",2.10362322635899e-13,"chlor_b_fw_22","resp"
