"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"318","Pinpine_hotspot","Pinpine_hotspot",NA,"leaf_d13c","resp"
"319","Pinsylv_coldspot","Pinpine_hotspot",1.09296482927591e-10,"leaf_d13c","resp"
"320","Pinsylv_hotspot","Pinpine_hotspot",8.05995480376094e-09,"leaf_d13c","resp"
"321","Abialba_hotspot","Pinsylv_coldspot",NA,"leaf_d13c","resp"
"322","Pinpine_coldspot","Pinsylv_coldspot",NA,"leaf_d13c","resp"
"323","Pinpine_hotspot","Pinsylv_coldspot",NA,"leaf_d13c","resp"
"324","Pinsylv_coldspot","Pinsylv_coldspot",NA,"leaf_d13c","resp"
"325","Pinsylv_hotspot","Pinsylv_coldspot",1,"leaf_d13c","resp"
"326","Abialba_hotspot","Abialba_coldspot",0.591898220057577,"leaf_d15n","resp"
"327","Pinpine_coldspot","Abialba_coldspot",0.786379105962416,"leaf_d15n","resp"
"328","Pinpine_hotspot","Abialba_coldspot",1,"leaf_d15n","resp"
"329","Pinsylv_coldspot","Abialba_coldspot",0.0136232135417523,"leaf_d15n","resp"
"330","Pinsylv_hotspot","Abialba_coldspot",1.18318884259606e-11,"leaf_d15n","resp"
"331","Abialba_hotspot","Abialba_hotspot",NA,"leaf_d15n","resp"
"332","Pinpine_coldspot","Abialba_hotspot",0.00547239266364838,"leaf_d15n","resp"
"333","Pinpine_hotspot","Abialba_hotspot",0.238088180680505,"leaf_d15n","resp"
"334","Pinsylv_coldspot","Abialba_hotspot",4.50060481038637e-07,"leaf_d15n","resp"
"335","Pinsylv_hotspot","Abialba_hotspot",7.60977150098736e-19,"leaf_d15n","resp"
"336","Abialba_hotspot","Pinpine_coldspot",NA,"leaf_d15n","resp"
"337","Pinpine_coldspot","Pinpine_coldspot",NA,"leaf_d15n","resp"
"338","Pinpine_hotspot","Pinpine_coldspot",0.790011838682961,"leaf_d15n","resp"
"339","Pinsylv_coldspot","Pinpine_coldspot",1,"leaf_d15n","resp"
"340","Pinsylv_hotspot","Pinpine_coldspot",0.0161292202018431,"leaf_d15n","resp"
"341","Abialba_hotspot","Pinpine_hotspot",NA,"leaf_d15n","resp"
"342","Pinpine_coldspot","Pinpine_hotspot",NA,"leaf_d15n","resp"
"343","Pinpine_hotspot","Pinpine_hotspot",NA,"leaf_d15n","resp"
"344","Pinsylv_coldspot","Pinpine_hotspot",0.0143830369295337,"leaf_d15n","resp"
"345","Pinsylv_hotspot","Pinpine_hotspot",2.65233021711705e-12,"leaf_d15n","resp"
"346","Abialba_hotspot","Pinsylv_coldspot",NA,"leaf_d15n","resp"
"347","Pinpine_coldspot","Pinsylv_coldspot",NA,"leaf_d15n","resp"
"348","Pinpine_hotspot","Pinsylv_coldspot",NA,"leaf_d15n","resp"
"349","Pinsylv_coldspot","Pinsylv_coldspot",NA,"leaf_d15n","resp"
"350","Pinsylv_hotspot","Pinsylv_coldspot",2.92605228292511e-05,"leaf_d15n","resp"
"351","Abialba_hotspot","Abialba_coldspot",1,"leaf_d18o","resp"
"352","Pinpine_coldspot","Abialba_coldspot",0.026245995684056,"leaf_d18o","resp"
"353","Pinpine_hotspot","Abialba_coldspot",1,"leaf_d18o","resp"
"354","Pinsylv_coldspot","Abialba_coldspot",1,"leaf_d18o","resp"
"355","Pinsylv_hotspot","Abialba_coldspot",1,"leaf_d18o","resp"
"356","Abialba_hotspot","Abialba_hotspot",NA,"leaf_d18o","resp"
"357","Pinpine_coldspot","Abialba_hotspot",1,"leaf_d18o","resp"
"358","Pinpine_hotspot","Abialba_hotspot",1,"leaf_d18o","resp"
"359","Pinsylv_coldspot","Abialba_hotspot",0.892381052733597,"leaf_d18o","resp"
"360","Pinsylv_hotspot","Abialba_hotspot",1,"leaf_d18o","resp"
"361","Abialba_hotspot","Pinpine_coldspot",NA,"leaf_d18o","resp"
"362","Pinpine_coldspot","Pinpine_coldspot",NA,"leaf_d18o","resp"
"363","Pinpine_hotspot","Pinpine_coldspot",0.956901528556085,"leaf_d18o","resp"
"364","Pinsylv_coldspot","Pinpine_coldspot",0.134971969932221,"leaf_d18o","resp"
"365","Pinsylv_hotspot","Pinpine_coldspot",1,"leaf_d18o","resp"
"366","Abialba_hotspot","Pinpine_hotspot",NA,"leaf_d18o","resp"
"367","Pinpine_coldspot","Pinpine_hotspot",NA,"leaf_d18o","resp"
"368","Pinpine_hotspot","Pinpine_hotspot",NA,"leaf_d18o","resp"
"369","Pinsylv_coldspot","Pinpine_hotspot",0.889899482888621,"leaf_d18o","resp"
"370","Pinsylv_hotspot","Pinpine_hotspot",1,"leaf_d18o","resp"
"371","Abialba_hotspot","Pinsylv_coldspot",NA,"leaf_d18o","resp"
"372","Pinpine_coldspot","Pinsylv_coldspot",NA,"leaf_d18o","resp"
"373","Pinpine_hotspot","Pinsylv_coldspot",NA,"leaf_d18o","resp"
"374","Pinsylv_coldspot","Pinsylv_coldspot",NA,"leaf_d18o","resp"
"375","Pinsylv_hotspot","Pinsylv_coldspot",1,"leaf_d18o","resp"
