"","vigor_id","emmean","SE","df","lower.CL","upper.CL","variable","significant","sp_id"
"1","hot_healthy",23.9758620689655,0.898213745923527,51,22.1726227303749,25.7791014075562,"height","yes","Abialba"
"2","hot_damaged",27.5875,0.98735442107544,51,25.6053032886994,29.5696967113006,"height","yes","Abialba"
"3","hot_healthy",43.6428571428571,2.58225927584491,50,38.4562367445521,48.8294775411621,"dbh","no","Abialba"
"4","hot_damaged",52.2458333333333,2.78915879713489,50,46.6436430162521,57.8480236504146,"dbh","no","Abialba"
"5","hot_healthy",14.1278828857572,1.77974484355115,46,10.5454423229735,17.7103234485409,"hegyi_index","no","Abialba"
"6","hot_damaged",17.4198122894899,1.85551226612084,46,13.6848598152743,21.1547647637056,"hegyi_index","no","Abialba"
"7","hot_healthy",50.2722731325097,1.05878346543179,51,48.1466766310301,52.3978696339893,"wc_22","no","Abialba"
"8","hot_damaged",48.2877421975256,1.16385942689042,51,45.9511969011713,50.6242874938799,"wc_22","no","Abialba"
"9","hot_healthy",47.5778607886987,0.247664059293128,51,47.0806544427713,48.0750671346261,"percent_c","no","Abialba"
"10","hot_damaged",47.4031246181596,0.272242776281649,51,46.8565744389108,47.9496747974083,"percent_c","no","Abialba"
"11","hot_healthy",1.17946979521476,0.0279441243297107,51,1.12336962473474,1.23556996569477,"percent_n","no","Abialba"
"12","hot_damaged",1.15895123665744,0.030717359676625,51,1.0972835639037,1.22061890941119,"percent_n","no","Abialba"
"13","hot_healthy",41.1415924253861,1.01688215925362,51,39.1001163061448,43.1830685446274,"cn","no","Abialba"
"14","hot_damaged",41.3444294376246,1.11779974444667,51,39.1003528122103,43.588506063039,"cn","no","Abialba"
"15","hot_healthy",46.3201183377234,1.45645820883747,51,43.396156475518,49.2440801999288,"sla_22","no","Abialba"
"16","hot_damaged",42.7675727926607,1.60100027207748,51,39.5534306301667,45.9817149551547,"sla_22","no","Abialba"
"17","hot_healthy",73.9565217391305,3.66260587417483,36,66.5284127377607,81.3846307405002,"age","yes","Abialba"
"18","hot_damaged",94.2,4.53532564916361,36,85.0019332584385,103.398066741562,"age","yes","Abialba"
"19","hot_healthy",906.078092952716,45.5060229538572,51,814.720939818932,997.435246086499,"chlor_a_fw_22","no","Abialba"
"20","hot_damaged",968.767714945515,50.0221391099449,51,868.344080311908,1069.19134957912,"chlor_a_fw_22","no","Abialba"
"21","hot_healthy",442.241292892878,15.5955935360595,51,410.931832421442,473.550753364314,"chlor_b_fw_22","no","Abialba"
"22","hot_damaged",462.471989213955,17.1433339748008,51,428.055310157041,496.888668270869,"chlor_b_fw_22","no","Abialba"
"23","hot_healthy",1348.31938584559,59.6709104760912,51,1228.52503441382,1468.11373727736,"total_chl_fw_22","no","Abialba"
"24","hot_damaged",1431.23970415947,65.5927807112201,51,1299.55670215374,1562.9227061652,"total_chl_fw_22","no","Abialba"
"25","hot_healthy",53.494139871891,1.4869354758266,51,50.5089923431147,56.4792874006674,"xc_fw_22","no","Abialba"
"26","hot_damaged",54.9469953422702,1.6345021689707,51,51.6655953152986,58.2283953692418,"xc_fw_22","no","Abialba"
"27","hot_healthy",2.03048083821086,0.0499525384847376,51,1.93019693266283,2.1307647437589,"chla_chlb_22","no","Abialba"
"28","hot_damaged",2.07196066408308,0.0549099364607652,51,1.96172436681537,2.18219696135078,"chla_chlb_22","no","Abialba"
"29","hot_healthy",25.199767680453,0.72738587313884,51,23.7394796067824,26.6600557541235,"chl_xc_22","no","Abialba"
"30","hot_damaged",25.721857794764,0.799573220662555,51,24.1166475737827,27.3270680157453,"chl_xc_22","no","Abialba"
"31","hot_healthy",-28.3127475452516,0.222026692841428,51,-28.758484730377,-27.8670103601263,"leaf_d13c","no","Abialba"
"32","hot_damaged",-28.7288733651294,0.244061102124801,51,-29.2188464727205,-28.2389002575382,"leaf_d13c","no","Abialba"
"33","hot_healthy",-3.00445913833025,0.219841990227929,51,-3.44581034994577,-2.56310792671472,"leaf_d15n","no","Abialba"
"34","hot_damaged",-3.29454704582861,0.241659584898014,51,-3.77969890641112,-2.80939518524609,"leaf_d15n","no","Abialba"
"35","hot_healthy",19.5596476232115,0.310513621982156,51,18.9362655152581,20.1830297311648,"leaf_d18o_corrected","no","Abialba"
"36","hot_damaged",20.0064514464439,0.341329665527443,51,19.3212035496036,20.6916993432841,"leaf_d18o_corrected","no","Abialba"
"37","hot_healthy",897.23647826087,122.546696827431,36,648.700257585188,1145.77269893655,"mean_1980","no","Abialba"
"38","hot_damaged",1044.4258,151.746924576464,36,736.668772599241,1352.18282740076,"mean_1980","no","Abialba"
"39","hot_healthy",804.585913043478,83.0364649121334,35,636.012927291475,973.158898795481,"mean_05","no","Abialba"
"40","hot_damaged",631.657714285714,106.431149313062,35,415.590994252471,847.724434318958,"mean_05","no","Abialba"
"41","hot_healthy",0.807629698011061,0.0332736046326185,35,0.740080689444915,0.875178706577207,"Rt12","no","Abialba"
"42","hot_damaged",0.894334735747668,0.0426481063058906,35,0.807754477011216,0.98091499448412,"Rt12","no","Abialba"
"43","hot_healthy",0.897780662847771,0.0344452466156489,35,0.827853094602804,0.967708231092738,"Rt17","no","Abialba"
"44","hot_damaged",0.888724858534461,0.0441498465710779,35,0.799095904979479,0.978353812089442,"Rt17","no","Abialba"
"45","hot_healthy",0.6459116649951,0.0263929684682033,33,0.592214766901443,0.699608563088758,"Rt22","no","Abialba"
