"","Group1","Group2","P_value_adjusted","Variable","Tipo","significant","grupo1","grupo2","match"
"233","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d13c","var",0,"Pinpine","Pinpine","Yes"
"238","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"leaf_d13c","var",0,"Pinsylv","Pinsylv","Yes"
"240","Abialba_hot_healthy","Abialba_hot_damaged",1,"leaf_d15n","var",0,"Abialba","Abialba","Yes"
"245","all_hot_healthy","all_hot_damaged",5.63345762665592e-06,"leaf_d15n","var",1,"all","all","Yes"
"250","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d15n","var",0,"Pinpine","Pinpine","Yes"
"255","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.217172998252471,"leaf_d15n","var",0,"Pinsylv","Pinsylv","Yes"
"257","Abialba_hot_healthy","Abialba_hot_damaged",1,"leaf_d18o","var",0,"Abialba","Abialba","Yes"
"262","all_hot_healthy","all_hot_damaged",1,"leaf_d18o","var",0,"all","all","Yes"
"267","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d18o","var",0,"Pinpine","Pinpine","Yes"
"272","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"leaf_d18o","var",0,"Pinsylv","Pinsylv","Yes"
"274","Abialba_hot_healthy","Abialba_hot_damaged",1,"mean_1980","var",0,"Abialba","Abialba","Yes"
"279","all_hot_healthy","all_hot_damaged",0.00040630366312617,"mean_1980","var",1,"all","all","Yes"
"284","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"mean_1980","var",0,"Pinpine","Pinpine","Yes"
"289","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.487911389443024,"mean_1980","var",0,"Pinsylv","Pinsylv","Yes"
"291","Abialba_hot_healthy","Abialba_hot_damaged",1,"mean_05","var",0,"Abialba","Abialba","Yes"
"296","all_hot_healthy","all_hot_damaged",3.0272721703272e-08,"mean_05","var",1,"all","all","Yes"
"301","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"mean_05","var",0,"Pinpine","Pinpine","Yes"
"306","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.00290844651839019,"mean_05","var",1,"Pinsylv","Pinsylv","Yes"
"308","Abialba_hot_healthy","Abialba_hot_damaged",1,"Rt12","var",0,"Abialba","Abialba","Yes"
"313","all_hot_healthy","all_hot_damaged",1,"Rt12","var",0,"all","all","Yes"
"318","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"Rt12","var",0,"Pinpine","Pinpine","Yes"
"323","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"Rt12","var",0,"Pinsylv","Pinsylv","Yes"
"325","Abialba_hot_healthy","Abialba_hot_damaged",1,"Rt17","var",0,"Abialba","Abialba","Yes"
"330","all_hot_healthy","all_hot_damaged",1,"Rt17","var",0,"all","all","Yes"
"335","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"Rt17","var",0,"Pinpine","Pinpine","Yes"
"340","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"Rt17","var",0,"Pinsylv","Pinsylv","Yes"
"342","Abialba_hot_healthy","Abialba_hot_damaged",1,"Rt22","var",0,"Abialba","Abialba","Yes"
"347","all_hot_healthy","all_hot_damaged",1,"Rt22","var",0,"all","all","Yes"
"352","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"Rt22","var",0,"Pinpine","Pinpine","Yes"
"357","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"Rt22","var",0,"Pinsylv","Pinsylv","Yes"
"359","Abialba_hot_healthy","Abialba_hot_damaged",1,"Rs12","var",0,"Abialba","Abialba","Yes"
"364","all_hot_healthy","all_hot_damaged",1.55425581069767e-05,"Rs12","var",1,"all","all","Yes"
"369","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"Rs12","var",0,"Pinpine","Pinpine","Yes"
"374","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.347250936506433,"Rs12","var",0,"Pinsylv","Pinsylv","Yes"
"376","Abialba_hot_healthy","Abialba_hot_damaged",1,"Rs17","var",0,"Abialba","Abialba","Yes"
"381","all_hot_healthy","all_hot_damaged",1,"Rs17","var",0,"all","all","Yes"
"386","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"Rs17","var",0,"Pinpine","Pinpine","Yes"
"391","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"Rs17","var",0,"Pinsylv","Pinsylv","Yes"
