"","full_model","null_model","variable","delta_aic"
"1",578.615992794838,577.083017482472,"height",1.53297531236592
"2",951.513629743058,950.032408627222,"dbh",1.48122111583541
"3",948.695195116152,946.850654789311,"hegyi_index",1.84454032684118
"4",743.65816048031,752.059403563742,"wc_22",-8.40124308343184
"5",512.125428669224,510.136328823908,"percent_c",1.98909984531633
"6",61.549802088323,64.9380428435027,"percent_n",-3.38824075517967
"7",851.912934975491,851.552940705487,"cn",0.359994270004449
"8",818.624182991102,818.452651527814,"sla_22",0.171531463287693
"9",1262.5194235424,1275.59271004366,"age",-13.0732865012612
"10",1846.58608191205,1857.32085969804,"chlor_a_fw_22",-10.734777785995
"11",1603.92564671416,1607.70355638956,"chlor_b_fw_22",-3.77790967540022
"12",1939.61487582016,1948.56992267708,"total_chl_fw_22",-8.95504685692276
"13",936.427199933954,938.579942882768,"xc_fw_22",-2.15274294881374
"14",-22.6044814224669,-18.4644588192869,"chla_chlb_22",-4.14002260317992
"15",686.703980189793,697.26015977508,"chl_xc_22",-10.5561795852865
"16",-193.134314540985,-193.83483334295,"d13c_centered",0.70051880196425
"17",-115.425430420375,-115.508103491949,"d15n_centered",0.0826730715742912
"18",-157.458978171764,-158.920803599126,"d18o_centered",1.46182542736184
"19",1878.56346385226,1891.45744055815,"mean_1980",-12.8939767058969
"20",1868.94602207838,1896.02541931124,"mean_05",-27.0793972328599
"21",-29.8853548749263,-31.1696189400803,"Rt12",1.28426406515391
"22",29.3840780942118,39.1235012403193,"Rt17",-9.73942314610747
"23",38.1117501454465,36.7277671990414,"Rt22",1.38398294640507
"24",-85.6282299568161,-82.120614219675,"Rs12",-3.50761573714112
"25",151.830059106489,153.835438721495,"Rs17",-2.00537961500578
