"","variable","estimate_cold","estimate_hot","std_error_cold","std_error_hot","df_cold","df_hot","t_val_cold","t_val_hot","p_val_cold","p_val_hot","ci_lower_cold","ci_upper_cold","ci_lower_hot","ci_upper_hot"
"1","height",20.5801380263709,16.6016433761032,0.995953456025615,1.33018058031018,89.0269968007261,88.9743403432485,20.6637548189216,-2.9909432667706,9.90676985089145e-36,0.00359727733269002,18.6012201780899,22.559055874652,14.8496396919206,18.3536470602857
"2","dbh",48.0374180459161,43.0901280406193,1.56090346786345,2.09402315572499,90.5010288084263,90.0880234744508,30.7753932481611,-2.36257655115758,1.00916922346486e-49,0.0203006891445447,44.936630147122,51.1382059447103,40.3167575997078,45.8634984815308
"3","hegyi_index",14.5169773746572,18.9356892245016,1.43025468403139,1.92056331935744,89.3021734008899,89.1821498422106,10.1499247209168,2.30073739579844,1.51507109311549e-16,0.0237384646753564,11.6755537635237,17.3584009857907,16.3891164351444,21.4822620138588
"4","wc_22",54.3606559018444,52.541229768913,0.52516076362614,0.699578016673785,89.6466070635538,88.7054545663592,103.512409279197,-2.60074800746601,4.42409981784864e-95,0.0108972143290233,53.3173305070468,55.403981296642,51.6227210663491,53.4597384714768
"5","percent_c",48.1092211406893,48.5670974144974,0.257772649416924,0.343574926844544,90.4101210497333,89.6488681886288,186.634312249618,1.33268244575723,9.60693354076389e-119,0.18601336466534,47.5971004353084,48.6213418460703,48.1156992630052,49.0184955659896
"6","percent_n",1.44709020367031,1.31709079540324,0.0842715214165973,0.112506988054095,89.299862079472,89.1070212895024,17.1717583751289,-1.15547852196138,4.87437223412956e-30,0.250983482585896,1.27965067462609,1.61452973271452,1.16897797084399,1.46520361996248
"7","cn",38.4138476714397,40.1952960474224,1.60154883804129,2.13765128732901,89.4024838005459,89.1275032726488,23.9854363220171,0.83336715700184,1.01965247401902e-40,0.406865473243666,35.2317697472994,41.59592559558,37.3819359334898,43.008656161355
"8","sla_22",49.7438704212664,45.0663553520824,1.61134758412214,2.15832937753455,86.6902227340489,86.4472464720555,30.8709746496853,-2.1671924210785,1.52527028870655e-48,0.03297037784102,46.5406925489263,52.9470482936064,42.2115391743081,47.9211715298567
"9","age",94.8016320792707,113.859422707639,5.31229316704934,7.04986514185156,85.1849092068776,85.2881759981843,17.8457078888828,2.70328442387245,1.61501463503704e-30,0.0082851480319576,84.2402948053415,105.3629693532,104.645594011572,123.073251403706
"10","chlor_a_fw_22",854.519526593704,718.611634996922,37.5592491312905,50.1216004415547,89.1725853699846,88.8273358121642,22.7512409421893,-2.71156328607782,6.72165169194849e-39,0.00803928339900618,779.894892164868,929.144161022539,652.663088106238,784.560181887607
"11","chlor_b_fw_22",380.895165564792,336.20756223987,15.7571217209416,21.0259604117178,89.0764955625732,88.7084295067067,24.1728897136444,-2.12535372700586,6.73726195265778e-41,0.0363369679513181,349.588237805495,412.202093324089,308.544478127328,363.870646352412
"12","total_chl_fw_22",1235.42542900403,1054.82121308094,52.4738297063684,70.0239461200233,89.1592323189339,88.810673466911,23.5436490135594,-2.57917792312819,4.92082243144904e-40,0.0115477699517191,1131.16780534822,1339.68305265984,962.686829023537,1146.95559713835
