"","variable","delta_aic","estimate_cold","estimate_hot","ci_upper_hot","ci_upper_cold","ci_lower_cold","ci_lower_hot","sp_id"
"1","height",-0.16772325302486,30.0432907452656,-4.71089559162735,38.6517126699814,43.3710765785694,16.7261421655154,11.9960956180449,"aa"
"2","dbh",0.374301159980291,60.9811508210498,-13.7851276398681,80.0327778896482,94.0017877257328,27.9180327325545,14.2989148166629,"aa"
"3","hegyi_index",-1.99172717027761,15.5273137412374,-0.316558616032612,29.9217208389502,31.2734149346526,-0.172201216962057,0.0571702971207984,"aa"
"4","wc_22",-1.8946487524928,50.5565812116719,-0.94221431503056,62.0190653045753,62.9698782179905,38.1470914261234,37.2346833300262,"aa"
"5","percent_c",-0.430003978962702,47.9395039476298,-0.45565530055766,48.8831699085273,49.3464204445948,46.5325874506648,46.1074452118749,"aa"
"6","percent_n",-1.99823411416016,1.16609362603458,-0.00246002250942611,1.41396878395293,1.41838550354836,0.913801748520809,0.912880910451589,"aa"
"7","cn",-1.97249556370934,41.8706970213463,-0.360986043126523,50.8231961726926,51.2358102865808,32.5055837561109,32.2258173889815,"aa"
"8","sla_22",-0.941124660825835,56.5885867086453,-11.8480997258639,91.0258237150935,102.905052027885,10.2800029558476,-1.54243199194489,"aa"
"9","age",-1.32673937421498,93.284551649867,-11.9247638185109,142.99419051173,155.56571267757,32.5143583032353,19.5682951498907,"aa"
"10","chlor_a_fw_22",-1.02579714127523,1049.9264762801,-136.01704131311,1471.27705189233,1610.24832837087,489.604624189316,354.575046964551,"aa"
"11","chlor_b_fw_22",-1.2458574920563,483.251564677151,-36.7111160496885,619.96383957914,658.360183240013,308.142946114297,271.980608346507,"aa"
"12","total_chl_fw_22",-0.911823835939458,1533.17804095726,-172.351241872088,2024.73784922918,2201.96412290954,864.391959004978,693.431201241846,"aa"
"13","xc_fw_22",-1.99633089582449,53.9963801673003,-0.111867517156678,61.751166667493,62.1497030365128,45.8430572980877,45.7653414885479,"aa"
"14","chla_chlb_22",-1.53528311182338,2.20240060664296,-0.176107053748786,3.10498509631738,3.2824561553075,1.12234505797834,0.947115777091398,"aa"
"15","chl_xc_22",-0.20688646477879,28.2163214237477,-3.04324648794293,33.8836969813673,36.9538628278868,19.478780019607,16.4435171787193,"aa"
"16","leaf_d13c",0.675310104490677,-29.2693405947913,0.788888787441826,-26.7187558773284,-27.5009586525467,-31.037722537036,-30.2253663508239,"aa"
"17","leaf_d15n",-1.01432374600392,-3.88354675856007,0.777575948685013,0.0583413914559143,-0.710384444128572,-7.05670907299151,-6.26502045293663,"aa"
"18","leaf_d18o_corrected",-1.99496203378652,19.6848074717388,-0.0752429869356314,24.1650488677933,24.2496631388066,15.1199518046704,15.0478177240421,"aa"
"19","mean_1980",9.43519330245408,2311.43595,-1356.09842368421,1756.15996221687,3596.96695258514,1025.90494741485,154.51509041471,"aa"
"20","mean_05",5.37078553292395,1262.31853846154,-523.164916839916,1348.07822973017,2168.22883060435,356.408246318721,130.229013513078,"aa"
"21","Rt12",-1.93004568276045,0.797246709168865,0.0274824772821643,1.26818111816536,1.24286202299619,0.355328500166196,0.379619693189871,"aa"
"22","Rt17",-1.99949428690764,0.894929673406169,-0.00178697832355644,1.238125001357,1.2461777891683,0.554838983570871,0.547662532681801,"aa"
"23","Rt22",-1.9832081542323,0.62490879539513,-0.0105003257835232,0.963856830211912,0.978615850534432,0.277392226261425,0.265512440832387,"aa"
"24","Rs12",-0.674881661174617,0.844941715325025,0.0864565597371615,1.24858411759249,1.16151875672094,0.509828326701106,0.60807729711467,"aa"
"25","Rs17",-1.88681197120057,0.869763238743762,0.0295372616695414,1.28641343765538,1.27251976355081,0.482881948957942,0.521783894120157,"aa"
"26","height",-1.97790333113062,15.7304967930232,0.0890490740330617,18.8898584416322,18.7883062366406,12.6393664023445,12.7727925543838,"ps"
"27","dbh",-1.79162054252083,39.866451544543,-0.777495376340084,43.3421984487487,44.2220372859767,35.4067277534827,34.8944349033342,"ps"
"28","hegyi_index",11.7190473927631,10.4429251425001,4.77243723467239,18.1458350533219,13.3226600266559,7.27571351752359,12.4429413076285,"ps"
"29","wc_22",7.37642675448888,55.776627992281,-2.79202378939346,54.5862634439325,57.3901037603327,54.004733412102,51.470908814766,"ps"
"30","percent_c",0.0794170437962975,48.6895942096652,0.588842715063715,50.6651197965326,50.116691151687,47.2812321280464,47.8795845239084,"ps"
"31","percent_n",2.12672701245364,1.68020505207527,-0.158893343481401,2.06311789605921,2.22307673035225,1.13688120244605,0.979742812294709,"ps"
"32","cn",7.74211999038539,32.9225739865123,4.3320805134975,46.4450162711262,42.1322017599644,23.7055764530322,28.0713658435965,"ps"
"33","sla_22",-1.26939093762508,44.7101863418888,1.92705240150062,55.3861404495416,53.4815542984497,35.8286987916696,37.9575250173742,"ps"
"34","age",44.6522740195146,82.7298522448182,50.8292589856807,161.325068084318,110.585211482795,54.5849089927588,106.032565813799,"ps"
"35","chlor_a_fw_22",23.6228370537983,885.977213045844,-227.561175676752,794.493371371146,1028.94686773942,747.059305104171,519.083839713211,"ps"
"36","chlor_b_fw_22",10.8669182318531,375.204943314187,-62.076343663951,361.252292643439,426.296975062791,325.699111842571,263.687099327002,"ps"
"37","total_chl_fw_22",20.8288631452292,1261.97175619651,-291.088181456533,1154.08366033592,1454.57626865363,1074.82137228767,783.278557444202,"ps"
"38","xc_fw_22",13.4420536483528,42.1257419654657,-7.16672849914355,39.7546121525917,47.2833335419174,37.1811675566624,30.0052493829494,"ps"
"39","chla_chlb_22",7.94334638032966,2.31249653272483,-0.159200033232665,2.25944348999205,2.43009685997515,2.19820799576857,2.04374119808917,"ps"
"40","chl_xc_22",0.719967055056486,29.4951913588537,-1.22943093690238,30.4455752477434,31.7451421851378,27.2443394725701,26.0731368697332,"ps"
"41","leaf_d13c",-1.99009705482479,-26.7605808855347,0.0230817572333029,-25.5479786355355,-25.5607308354677,-27.9558994701044,-27.9293318380448,"ps"
"42","leaf_d15n",13.1428816158414,-4.81654147765793,-1.58556547049387,-5.31494569412951,-3.67370663521589,-5.94154650107808,-7.50266009386645,"ps"
"43","leaf_d18o_corrected",-1.4458895360508,18.6426252843275,0.286439215227935,20.2552254373645,19.9838582783768,17.2889380495105,17.608288454868,"ps"
"44","mean_1980",44.3155285533708,1166.6596892692,-758.404658399876,713.990497268213,1489.40207566131,852.463628381324,95.8757511572389,"ps"
"45","mean_05",29.1307075397376,993.813261100694,-589.573040397912,666.684601877291,1273.34480348283,720.950197061554,136.70391348671,"ps"
"46","Rt12",-0.569792289407843,0.78430093239174,-0.0672247388399986,0.910441575944198,0.976922337114982,0.586926182691809,0.526871320242799,"ps"
"47","Rt17",0.761794895226217,0.996506252720736,-0.108027308438126,1.07653252514582,1.19547204901692,0.804223054325017,0.695267038164405,"ps"
"48","Rt22",-1.97836271875695,0.934580279120841,-0.00830892671726751,1.04667666892046,1.06781820060104,0.806807575372418,0.802875481103481,"ps"
"49","Rs12",-1.65954061119669,0.826740286599509,-0.0375346544489212,0.970905155987458,1.0039493132894,0.638802438630695,0.614614363728624,"ps"
"50","Rs17",-1.68836757007111,1.31547314105719,-0.05423362704692,1.62694397128266,1.69212297907536,0.946241589994969,0.890402311077317,"ps"
"51","height",-0.478137102057303,13.6903229521828,-0.934144263553567,43.5326418178403,38.0837384551434,-10.7952916216882,-18.027376676805,"pp"
"52","dbh",1.03695366301838,51.3526969396168,-4.62556640580012,71.0441871092728,59.6906920854132,41.2072749304604,22.2710411227173,"pp"
"53","hegyi_index",-1.23621918615856,26.4885498542019,3.64581427279954,72.9017090060327,43.3672417827416,11.8658131125495,-12.4594457376538,"pp"
"54","wc_22",-1.62763172431067,54.1788156116379,0.388683747121963,58.6701329898966,57.1617306599578,51.195900563318,50.4648657276232,"pp"
