PLOT;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
NAV02;-9.9;-9.7;-8.9;-7.1;-4.9;-3.2;-1.9;-2.5;-4;-6.1;-8.3;-8.8
NAV03;-10;-9.7;-9;-7.1;-5;-3.3;-1.9;-2.5;-4;-6.2;-8.4;-8.9
NAV04;-9.9;-9.7;-8.9;-7.1;-5;-3.2;-1.9;-2.5;-4;-6.1;-8.4;-8.9
NAV05;-10;-9.7;-8.9;-7.1;-5;-3.3;-1.9;-2.5;-4;-6.2;-8.4;-8.9
NAV06;-9.9;-9.7;-8.9;-7.1;-5;-3.3;-1.9;-2.5;-4;-6.1;-8.4;-8.9
NAV07;-9.9;-9.7;-8.9;-7.1;-5;-3.3;-1.9;-2.5;-4;-6.1;-8.4;-8.9
NAV08;-9.9;-9.7;-8.9;-7.1;-5;-3.2;-1.9;-2.5;-4;-6.1;-8.4;-8.9
NAV09;-10;-9.7;-8.9;-7.1;-5;-3.3;-1.9;-2.5;-4;-6.1;-8.4;-8.9
NAV10;-9.9;-9.7;-8.9;-7.1;-5;-3.3;-1.9;-2.5;-4;-6.1;-8.4;-8.9
NAV11;-9.9;-9.7;-8.9;-7.1;-5;-3.3;-1.9;-2.5;-4;-6.1;-8.4;-8.9
FAG01;-10.7;-10.8;-9.5;-7.7;-5.7;-4.1;-2.5;-3;-4.5;-6.9;-9.2;-9.8
FAG02;-10.7;-10.8;-9.5;-7.7;-5.7;-4.1;-2.5;-3;-4.5;-6.9;-9.2;-9.8
FAG03;-10.7;-10.8;-9.5;-7.7;-5.7;-4.1;-2.5;-3;-4.5;-6.9;-9.2;-9.8
FAG04;-10.7;-10.8;-9.5;-7.8;-5.7;-4.1;-2.5;-3;-4.5;-6.9;-9.2;-9.8
FAG05;-10.7;-10.8;-9.5;-7.8;-5.7;-4.1;-2.6;-3;-4.5;-6.9;-9.2;-9.8
SAR01;-10.4;-10.5;-9.3;-7.5;-5.4;-3.9;-2.4;-2.9;-4.3;-6.7;-8.9;-9.5
SAR02;-10.4;-10.4;-9.2;-7.4;-5.4;-3.8;-2.3;-2.9;-4.2;-6.7;-8.9;-9.4
SAR03;-10.3;-10.4;-9.2;-7.4;-5.4;-3.8;-2.3;-2.8;-4.2;-6.7;-8.8;-9.4
SAR04;-10.3;-10.4;-9.2;-7.4;-5.4;-3.8;-2.3;-2.8;-4.2;-6.6;-8.8;-9.4
SAR05;-10.3;-10.3;-9.1;-7.4;-5.3;-3.7;-2.3;-2.8;-4.1;-6.6;-8.7;-9.3
SAR06;-10.3;-10.4;-9.2;-7.4;-5.3;-3.8;-2.3;-2.8;-4.2;-6.6;-8.8;-9.4
OZA01;-11.1;-11.2;-9.9;-8.1;-6.1;-4.5;-2.8;-3.3;-4.7;-7.3;-9.6;-10.2
OZA02;-11.2;-11.4;-10;-8.2;-6.2;-4.6;-2.9;-3.3;-4.8;-7.4;-9.8;-10.3
OZA03;-11.2;-11.4;-10;-8.2;-6.2;-4.6;-2.9;-3.4;-4.9;-7.4;-9.8;-10.3
OZA04;-11.2;-11.4;-10;-8.2;-6.2;-4.6;-2.9;-3.4;-4.9;-7.4;-9.8;-10.3
OZA05;-11.2;-11.4;-10;-8.2;-6.2;-4.6;-2.9;-3.3;-4.8;-7.4;-9.8;-10.3
OZA06;-11.1;-11.3;-9.9;-8.1;-6.1;-4.5;-2.8;-3.3;-4.8;-7.3;-9.7;-10.2
PEL01;-10.2;-10;-9.2;-7.3;-5.2;-3.5;-2.1;-2.7;-4.2;-6.4;-8.7;-9.1
PEL02;-10.1;-9.9;-9.1;-7.3;-5.2;-3.4;-2.1;-2.7;-4.1;-6.3;-8.6;-9.1
PEL03;-10.1;-9.9;-9.1;-7.3;-5.1;-3.4;-2.1;-2.7;-4.1;-6.3;-8.6;-9
PEL04;-10.2;-10;-9.2;-7.4;-5.2;-3.5;-2.1;-2.7;-4.2;-6.4;-8.7;-9.1
PEL05;-10.2;-10;-9.2;-7.4;-5.2;-3.5;-2.1;-2.7;-4.2;-6.4;-8.7;-9.1
PEL06;-10.3;-10.1;-9.3;-7.4;-5.3;-3.6;-2.2;-2.8;-4.3;-6.4;-8.8;-9.2
RON01;-10.3;-10.4;-9.2;-7.4;-5.3;-3.8;-2.3;-2.8;-4.2;-6.6;-8.8;-9.4
RON02;-10.4;-10.5;-9.2;-7.5;-5.4;-3.8;-2.3;-2.9;-4.2;-6.7;-8.9;-9.5
RON03;-10.4;-10.4;-9.2;-7.5;-5.4;-3.8;-2.3;-2.8;-4.2;-6.7;-8.9;-9.4
RON04;-10.4;-10.5;-9.3;-7.5;-5.5;-3.9;-2.4;-2.9;-4.3;-6.7;-8.9;-9.5
RON05;-10.4;-10.4;-9.2;-7.4;-5.4;-3.8;-2.3;-2.8;-4.2;-6.6;-8.8;-9.4
RON06;-10.4;-10.5;-9.2;-7.5;-5.4;-3.8;-2.3;-2.9;-4.2;-6.7;-8.9;-9.5
URZ01;-11.4;-11.6;-10.2;-8.4;-6.4;-4.8;-3.1;-3.5;-5;-7.6;-10;-10.5
URZ02;-11.3;-11.5;-10.1;-8.3;-6.3;-4.6;-3;-3.4;-4.9;-7.5;-9.9;-10.4
URZ03;-11.3;-11.5;-10.1;-8.3;-6.3;-4.7;-3;-3.4;-4.9;-7.5;-9.9;-10.4
URZ04;-11.3;-11.5;-10.1;-8.4;-6.3;-4.7;-3;-3.4;-4.9;-7.5;-9.9;-10.4
URZ05;-11.3;-11.5;-10.2;-8.4;-6.3;-4.7;-3;-3.5;-4.9;-7.5;-9.9;-10.4
URZ06;-11.3;-11.4;-10.1;-8.3;-6.2;-4.6;-3;-3.4;-4.9;-7.4;-9.8;-10.3
TRA01;-11.8;-11.9;-10.4;-8.7;-6.6;-5;-3.2;-3.8;-5.4;-7.7;-10.4;-10.8
TRA02;-11.8;-11.9;-10.4;-8.7;-6.6;-5;-3.2;-3.8;-5.4;-7.7;-10.4;-10.8
TRA03;-11.8;-11.9;-10.4;-8.7;-6.6;-5;-3.2;-3.8;-5.4;-7.7;-10.4;-10.8
TRA04;-11.8;-12;-10.4;-8.7;-6.5;-5;-3.2;-3.8;-5.4;-7.7;-10.4;-10.8
