"","variable","estimate_healthy","estimate_damaged","std_error_healthy","std_error_damaged","df_healthy","df_damaged","t_val_healthy","t_val_damaged","p_val_healthy","p_val_damaged","ci_lower_healthy","ci_upper_healthy","ci_lower_damaged","ci_upper_damaged"
"1","height",14.7133450351722,14.7135376432114,0.496769653605334,0.00862757241069487,56.7260728811268,128.805561271258,29.6180431481458,0.022324708507183,3.39946213880728e-36,0.98222348650736,13.9093665130837,15.5308332478971,NA,NA
"2","dbh",38.8588285847135,38.8769852683708,1.79562593792428,0.0354101297611763,69.8332716521374,136.00291041098,21.6408260562519,0.512753943002405,1.10126733830007e-32,0.60895525461053,36.8267442334203,42.1644201883313,NA,NA
"3","hegyi_index",16.5113886830242,16.4699778154975,1.60624271263584,0.0351200935824899,80.9447129234564,138.803944337425,10.279510408442,-1.17912178763201,2.4243140386964e-16,0.240366870852123,12.9405736447438,17.1863799353888,NA,NA
"4","wc_22",54.1824451764996,54.1451088502011,0.751168758889028,0.0173062922185199,84.5372117273667,139.438461552308,72.1308554640039,-2.15738448346444,1.04215450319533e-77,0.032689379845939,51.9615354772066,53.7845901710772,NA,NA
"5","percent_c",49.6385153488594,49.6350982522447,0.412997686221005,0.0081430524660932,69.0257018680481,135.884752030651,120.190783156825,-0.419633378130576,6.53669254466337e-82,0.675416001332999,48.9047468014798,50.1326092176036,NA,NA
"6","percent_n",1.52489202327599,1.52527808095879,0.108023293784761,0.00166563877932767,47.9774333008234,125.763710665983,14.1163259316493,0.231777554410939,1.05115597718156e-18,0.817087497742105,1.35155450852055,1.72530756990926,NA,NA
"7","cn",35.4253319900299,35.4233064559325,2.01857309271598,0.0258977777175449,39.5615822645988,121.781298420555,17.5496899853973,-0.0782126605444613,2.86676964982747e-20,0.937787255546601,31.64758893427,39.0610043674843,NA,NA
"8","sla_22",47.6940468675908,47.6674380946466,2.26064552923404,0.0358643886254828,48.517042352832,111.88403683924,21.0975344213962,-0.74192740944458,4.34313029787185e-26,0.459685958171162,42.8999304654907,50.5636682962835,NA,NA
"9","age",110.978712492703,111.292568078665,8.07829477586928,0.125502711031997,48.1454264368558,116.162554476139,13.7378884494545,2.50078730077798,2.80613346583332e-18,0.0137859556890599,107.930840002505,135.794372024434,NA,NA
"10","chlor_a_fw_22",894.881203100441,891.07955296469,38.8656029389944,0.833745087653239,79.7903669225141,139.054410433141,23.0250178932023,-4.5597271780657,5.47423351895618e-37,1.11270673887256e-05,709.262170312304,815.054030987355,NA,NA
"11","chlor_b_fw_22",391.404630724912,390.138268184238,16.2947670881498,0.351607027593456,79.910683037116,139.270442653452,24.0202654390536,-3.60164172298184,2.64376095110156e-38,0.000438942717477907,325.183879170242,369.202955583914,NA,NA
"12","total_chl_fw_22",1286.39010187189,1281.32026576094,54.0701676230223,1.15627345987966,79.3005890817386,138.919951316232,23.7911247259416,-4.38463416040101,7.53642260087123e-38,2.27737743510421e-05,1035.50854538297,1183.27570737418,NA,NA
"13","xc_fw_22",40.8634460302618,40.7709388544461,1.40672680697361,0.0323325684866145,84.3737033229619,139.082390933032,29.0486012121815,-2.86111435452492,1.05439160221275e-45,0.00487369180845783,35.9097183657144,39.3579578623248,NA,NA
"14","chla_chlb_22",2.29264023245248,2.28983090157783,0.0461915387059492,0.00108533053215378,87.1605025169751,136.790659436086,49.6333375479696,-2.58845650373373,1.08390426867308e-65,0.0106823020897288,2.14029799978519,2.24882390440008,NA,NA
"15","chl_xc_22",31.4217565563618,31.3623493582913,0.727192174711463,0.0146150420413609,71.8920053061734,135.731610411048,43.209701161635,-4.06479830179869,3.50971775951292e-53,8.09926296166336e-05,28.2834294187184,30.4120388428191,NA,NA
"16","leaf_d13c",-26.9736045812899,-26.9679903645425,0.307810780544143,0.00466916089080393,46.7937127671175,125.212459200153,-87.6304739346894,1.20240378918799,1.50366260812926e-53,0.231476037134186,-27.3127362376008,-26.2406925475194,NA,NA
"17","leaf_d15n",-6.055961401698,-6.06011207811825,0.377380600343438,0.00732989904197896,66.785621934588,134.973283511145,-16.0473574852198,-0.566266519698499,1.31823063702228e-24,0.572152945784073,-6.77003260133942,-5.63301806565823,NA,NA
"18","leaf_d18o_corrected",19.0979518704472,19.097105515347,0.483171608004725,0.00960497797161914,70.831229829489,136.448155283185,39.526229509455,-0.0881162978942598,5.25011957264115e-50,0.929913435596753,18.3554541344955,19.7810863780412,NA,NA
"19","mean_1980",644.206940058453,642.01891086144,79.013470150116,1.62236804980001,70.5985066003183,128.290706442534,8.15312805316028,-1.34866388504308,9.02438605884478e-12,0.179820895509711,455.322498720187,681.338295800851,NA,NA
"20","mean_05",739.22242483606,732.235600080806,83.7927170074166,1.88395671368506,76.3841073273554,126.768474166194,8.82203670243359,-3.70859091639499,2.81322584468393e-13,0.000310408793115726,392.328006521524,608.954625369311,NA,NA
"21","Rt12",0.692441631352559,0.691334380636323,0.0660004340449741,0.00133792010203473,68.5527570836412,125.533758819536,10.4914708724599,-0.827591060596502,6.72495543158007e-16,0.4094726212285,0.558423251737477,0.750059711547336,NA,NA
"22","Rt17",1.14677216620347,1.14248905564638,0.072955370796489,0.00163959231197123,71.9331899161466,126.74649331509,15.7188175960674,-2.61230217159462,5.74977267858616e-25,0.0100800246751187,0.906151155193211,1.09487996784952,NA,NA
