"","pair_id","elev_mean","elev_sd","elev_max","elev_min","MAP_mean","MAP_sd","MAP_max","MAP_min","T_max_mean","T_max_sd","T_max_max","T_max_min","T_min_mean","T_min_sd","T_min_max","T_min_min","T_mean_mean","T_mean_sd","T_mean_max","T_mean_min","spei12_mean","spei12_sd","spei12_max","spei12_min","spei18_mean","spei24_mean"
"1","Gua-Ps",1507.0194,62.0550304577662,1577.788,1421.801,552.608547945205,122.028069050483,927.9,330.17,15.0296544831337,1.196636508903,18.2951780821918,11.9292896174863,1.92670970327325,0.928387121214835,4.66413698630137,-0.00882191780821919,8.47818209320346,0.932967178795355,11.1414657534247,6.14680821917809,-0.0959200485018086,1.05992728075363,2.54410123825073,-3.15736532211304,-0.108683266135526,-0.121436591562841
"2","Hue-Aa",1078.53818181818,118.469583074153,1204.845,951.018,993.783237858032,230.997279706704,1735.11,520.79,14.1439361827797,1.31874809730421,18.1964657534247,11.0134520547945,3.97654946245911,1.42180178146571,7.15731506849315,0.542356164383562,9.06024282261938,1.11351334513929,12.6768904109589,6.61784931506848,-0.0535027436840742,1.02013791424185,2.50756478309631,-2.84572267532349,-0.0576114013404608,-0.0608837161730211
"3","Mad-Pp",732.580294117647,71.2929742749634,867.073,668.085,366.824794520548,80.5826150694399,611.06,211.61,19.6955812835272,1.15162404860348,22.6502191780822,16.8304644808743,8.50899825195483,0.800038693101987,11.0156712328767,6.58945355191257,14.102289767741,0.924733290993902,16.8329452054795,11.9010109289618,-0.202988888048748,0.997565208511211,2.4429292678833,-2.39087724685669,-0.239403881966126,-0.266729973421772
"4","Mad-Ps",1408.68353846154,134.319671597037,1565.213,1208.237,655.276849315068,165.55649925971,1248.36,330.81,14.5341757024209,1.25817621827284,18.1361095890411,10.7362841530055,5.65103377058172,0.905558133632625,8.84120547945206,2.86494535519126,10.0926047365013,1.04974344903037,13.4560684931507,7.16990437158471,-0.144865714447184,1.04812525914376,2.4408233165741,-2.50002098083496,-0.176405452404733,-0.199865862181599
"5","Nav-Aa",755.4,44.7194756941943,826.779,686.006,941.278310502283,232.223313590541,1748.53,491.82,16.1457053129917,0.870684471662971,19.5033424657534,14.0178630136986,5.61447478697685,1.16399088857556,8.36035616438356,2.79572602739726,10.8800900499843,0.849149532479326,13.9318493150685,8.96145205479453,-0.0868680240273206,1.00984901210638,2.50756478309631,-2.84572267532349,-0.0967954132522439,-0.105044813460457
"6","Nav-Ps",1029.3755,238.919165100021,1297.045,769.052,1023.09126712329,258.059063507991,1910.27,531.09,14.8305694160317,1.33615896985889,18.7635342465753,11.6385205479452,4.41187446084096,1.69062081199949,8.05827397260274,0.166684931506849,9.62122193843632,1.36670121451479,13.410904109589,6.60938356164382,-0.0535027436840742,1.02013356229402,2.50756478309631,-2.84572267532349,-0.0576114013404608,-0.0608837161730211
"7","Ter-Ps",1400.54525,109.916738975153,1536.696,1263.021,488.287134703196,117.982142364527,860.46,272.97,15.5313825429712,1.32073791436268,19.2862739726027,12.2832786885246,3.16015683490787,0.936492356758391,5.81931506849315,1.10230136986301,9.34576968893954,1.01382493059005,12.4053287671233,6.75306010928962,-0.00216314059693718,1.08367517507764,2.66420936584473,-3.55342841148376,0.00673441643730177,0.0113724082749524
