"","plot_id","Tmin","Tmax","Prcp"
"1","ADO01",2.16268680290441,15.460316848628,534.672465753425
"2","ADO02",2.33231888922044,15.6960766360373,525.605342465753
"3","ADO03",2.33231888922044,15.6960766360373,525.605342465753
"4","ALU01",1.54497422598484,14.4576267889792,580.063424657534
"5","ALU02",1.54497422598484,14.4576267889792,580.063424657534
"6","ALU03",1.54497422598484,14.4576267889792,580.063424657534
"7","ALU04",1.54497422598484,14.4576267889792,580.063424657534
"8","ALU05",1.54497422598484,14.4576267889792,580.063424657534
"9","ALU06",1.88646631433121,14.9204647792725,553.372328767123
"10","ALU07",1.88646631433121,14.9204647792725,553.372328767123
"11","ALU08",1.88646631433121,14.9204647792725,553.372328767123
"12","BAS01",5.65048007346133,16.4857627754928,905.914931506849
"13","BAS02",5.65048007346133,16.4857627754928,905.914931506849
"14","BAS03",5.65048007346133,16.4857627754928,905.914931506849
"15","BAS04",5.65048007346133,16.4857627754928,905.914931506849
"16","BAS05",5.65048007346133,16.4857627754928,905.914931506849
"17","BAS06",5.95522418112257,16.7184859901539,896.887260273973
"18","CED01",2.82752089761456,14.7916350528657,521.842465753425
"19","CED02",2.82752089761456,14.7916350528657,521.842465753425
"20","CED03",2.82752089761456,14.7916350528657,521.842465753425
"21","CED04",2.82752089761456,14.7916350528657,521.842465753425
"22","CED05",2.62691234066203,14.6014973569714,533.711506849315
"23","CED06",2.82752089761456,14.7916350528657,521.842465753425
"24","COR01",3.66458501630936,16.4639230809459,443.857808219178
"25","COR02",3.66458501630936,16.4639230809459,443.857808219178
"26","COR03",3.38787004707718,16.1417162171724,461.649452054794
"27","COR04",3.38787004707718,16.1417162171724,461.649452054794
"28","COR05",3.66458501630936,16.4639230809459,443.857808219178
"29","COR06",3.38787004707718,16.1417162171724,461.649452054794
"30","FAG01",4.20891487858475,15.1093842999486,967.467945205479
"31","FAG02",4.20891487858475,15.1093842999486,967.467945205479
"32","FAG03",4.20891487858475,15.1093842999486,967.467945205479
"33","FAG04",4.66004473101608,15.4949025130049,944.155205479452
"34","FAG05",4.66004473101608,15.4949025130049,944.155205479452
"35","GUA01",5.61291764312602,14.371906330656,647.228767123288
"36","GUA04",5.73622896984948,14.4666407039736,622.905342465753
"37","GUA05",5.73622896984948,14.4666407039736,622.905342465753
