"","variable","estimate_cold","estimate_hot","std_error_cold","std_error_hot","df_cold","df_hot","t_val_cold","t_val_hot","p_val_cold","p_val_hot","ci_lower_cold","ci_upper_cold","ci_lower_hot","ci_upper_hot"
"1","height",13.6442234167276,12.7526325705176,2.4960951205977,0.755844668293035,1.12650534130773,82.4624341361837,5.46622735012616,-1.17959533699362,0.0954045721656835,0.241553147211448,-10.7952916216882,38.0837384551434,-18.027376676805,43.5326418178403
"2","dbh",50.4489835079368,46.6576141159951,2.67097975355103,2.40722746831128,3.10617043017472,69.9415035376783,18.8878195129954,-1.57499423791532,0.000261302796229748,0.11977065321137,41.2072749304604,59.6906920854132,22.2710411227173,71.0441871092728
"3","hegyi_index",27.6165274476455,30.2211316341895,4.53607676926433,3.88023005186301,2.92971815806576,75.0577505889851,6.08819666253675,0.671249939238366,0.00952683541761118,0.504121926765131,11.8658131125495,43.3672417827416,-12.4594457376538,72.9017090060327
"4","wc_22",54.1788156116379,54.5674993587599,0.562628978601079,0.644320831967382,78.0000000006177,78.0000000003527,96.295814243959,0.603245662467794,7.66848866119125e-83,0.54809544758046,51.195900563318,57.1617306599578,50.4648657276232,58.6701329898966
"5","percent_c",46.4163231980431,47.4135470555068,0.93994165313624,0.509063548801344,1.48715742197433,81.9999989990517,49.3821324368049,1.95893785719252,0.00227062280325978,0.0535189225822817,40.6419002932923,52.1907461027938,36.6233179943627,58.203776116651
"6","percent_n",0.988740927306138,0.985935204251131,0.0611053626507864,0.0398687753828818,1.80214422052264,81.5932651673731,16.1809190619936,-0.0703739462289195,0.00583340226986325,0.944068226301498,0.690069867548287,1.28741198706399,0.31982953105168,1.65204087745058
"7","cn",48.726583247502,49.0882176035932,3.47628543807476,1.94227034496601,1.52782290303242,81.9933953822736,14.0168533670491,0.186191565467942,0.0134723755513764,0.852754418640671,28.1303551495584,69.3228113454456,9.46497621607253,88.7114589911138
"8","sla_22",42.3766510797408,42.1628423827439,2.65631091496334,0.930734057855403,1.16677803589452,75.6161204007228,15.9531969096794,-0.229720504146556,0.0261514395597921,0.818929232884937,18.1072749595766,66.6460271999051,9.69981055205605,74.6258742134318
"9","age",114.940266755869,119.655337508362,14.155992124401,8.16967562791705,1.57447406746117,81.9691479786217,8.1195486509027,0.577142957350867,0.0285225096476308,0.565424689229715,34.255365058258,195.62516845348,-40.412294767225,279.72296978395
"10","chlor_a_fw_22",430.608698301751,452.253702765901,25.041007092592,28.635487149274,82.9999999963443,82.9999999974512,17.1961413815957,0.755880434347654,4.32046269336448e-29,0.451860829772538,299.783641913437,561.433754690065,263.213433666154,641.293971865648
"11","chlor_b_fw_22",204.373263289343,217.571968651626,10.8043031437031,12.3551933308584,82.9999999983198,82.9999999985973,18.9159134625406,1.06827186016735,7.77048394127615e-32,0.288495086663349,147.926908604611,260.819617974075,136.007822043278,299.136115259974
"12","total_chl_fw_22",634.981961591095,669.825671417527,35.2632310701345,40.3250474877844,83.0000000001156,82.9999999997978,18.0069137830334,0.864071141812958,2.09815423685119e-30,0.390039077841217,450.751583949882,819.212339232309,403.615503983913,936.035838851141
"13","xc_fw_22",25.5889840263806,27.4984470025655,1.56151619398407,1.33029211119401,2.7916299847357,75.1620640055264,16.3872677881697,1.435371194129,0.000737519222788072,0.155329849344552,19.9961374888952,31.181830563866,12.6264716389989,42.3704223661321
"14","chla_chlb_22",2.10411266738186,2.07523760434759,0.0525887990177761,0.0564462315498399,3.36461564117995,34.937364771735,40.0106620930938,-0.511549881036422,1.26226713565328e-05,0.612184264941625,1.89470919875699,2.31351613600673,1.66378970786944,2.48668550082574
