"","date","plot_id","spei12","year","month","spei18","spei24"
"1","1950-01-16","ADO02",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"2","1950-01-16","ADO03",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"3","1950-01-16","ADO01",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"4","1950-01-16","CED01",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"5","1950-01-16","CED06",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"6","1950-01-16","CED02",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"7","1950-01-16","CED03",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"8","1950-01-16","CED04",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"9","1950-01-16","CED05",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"10","1950-01-16","COR04",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"11","1950-01-16","COR02",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"12","1950-01-16","COR01",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"13","1950-01-16","COR03",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"14","1950-01-16","COR05",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"15","1950-01-16","COR06",0.00625240197405219,1950,1,-0.884565234184265,-0.734737515449524
"16","1950-01-16","TRA01",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"17","1950-01-16","TRA04",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"18","1950-01-16","TRA02",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"19","1950-01-16","TRA03",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"20","1950-01-16","ALU07",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"21","1950-01-16","ALU08",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"22","1950-01-16","ALU06",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"23","1950-01-16","ALU01",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"24","1950-01-16","ALU02",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"25","1950-01-16","ALU03",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"26","1950-01-16","ALU04",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"27","1950-01-16","ALU05",0.0688794478774071,1950,1,-1.12514746189117,-1.33494675159454
"28","1950-01-16","GUA15",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"29","1950-01-16","GUA14",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"30","1950-01-16","GUA12",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"31","1950-01-16","GUA13",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"32","1950-01-16","GUA11",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"33","1950-01-16","GUA10",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"34","1950-01-16","GUA01",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"35","1950-01-16","GUA06",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"36","1950-01-16","GUA05",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"37","1950-01-16","GUA04",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"38","1950-01-16","GUA07",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"39","1950-01-16","GUA09",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"40","1950-01-16","GUA08",-1.11910116672516,1950,1,-1.77267920970917,-1.75174367427826
"41","1950-01-16","NAV11",-1.09500193595886,1950,1,-1.75924849510193,-1.5846289396286
"42","1950-01-16","NAV05",-1.09500193595886,1950,1,-1.75924849510193,-1.5846289396286
"43","1950-01-16","NAV04",-1.09500193595886,1950,1,-1.75924849510193,-1.5846289396286
"44","1950-01-16","NAV06",-1.09500193595886,1950,1,-1.75924849510193,-1.5846289396286
"45","1950-01-16","NAV07",-1.09500193595886,1950,1,-1.75924849510193,-1.5846289396286
