"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"334","Pinsylv_coldspot","Abialba_hotspot",1,"Rs12","vuln"
"335","Pinsylv_hotspot","Abialba_hotspot",3.41076319209817e-08,"Rs12","vuln"
"336","Abialba_hotspot","Pinpine_coldspot",NA,"Rs12","vuln"
"337","Pinpine_coldspot","Pinpine_coldspot",NA,"Rs12","vuln"
"338","Pinpine_hotspot","Pinpine_coldspot",1,"Rs12","vuln"
"339","Pinsylv_coldspot","Pinpine_coldspot",0.0124965465431522,"Rs12","vuln"
"340","Pinsylv_hotspot","Pinpine_coldspot",8.70967853030862e-10,"Rs12","vuln"
"341","Abialba_hotspot","Pinpine_hotspot",NA,"Rs12","vuln"
"342","Pinpine_coldspot","Pinpine_hotspot",NA,"Rs12","vuln"
"343","Pinpine_hotspot","Pinpine_hotspot",NA,"Rs12","vuln"
"344","Pinsylv_coldspot","Pinpine_hotspot",4.1437030701963e-06,"Rs12","vuln"
"345","Pinsylv_hotspot","Pinpine_hotspot",1.92754267777161e-21,"Rs12","vuln"
"346","Abialba_hotspot","Pinsylv_coldspot",NA,"Rs12","vuln"
"347","Pinpine_coldspot","Pinsylv_coldspot",NA,"Rs12","vuln"
"348","Pinpine_hotspot","Pinsylv_coldspot",NA,"Rs12","vuln"
"349","Pinsylv_coldspot","Pinsylv_coldspot",NA,"Rs12","vuln"
"350","Pinsylv_hotspot","Pinsylv_coldspot",1.31461836577523e-11,"Rs12","vuln"
"351","Abialba_hotspot","Abialba_coldspot",1,"Rs17","vuln"
"352","Pinpine_coldspot","Abialba_coldspot",1,"Rs17","vuln"
"353","Pinpine_hotspot","Abialba_coldspot",1,"Rs17","vuln"
"354","Pinsylv_coldspot","Abialba_coldspot",3.28259284346351e-05,"Rs17","vuln"
"355","Pinsylv_hotspot","Abialba_coldspot",7.68165948327289e-09,"Rs17","vuln"
"356","Abialba_hotspot","Abialba_hotspot",NA,"Rs17","vuln"
"357","Pinpine_coldspot","Abialba_hotspot",1,"Rs17","vuln"
"358","Pinpine_hotspot","Abialba_hotspot",1,"Rs17","vuln"
"359","Pinsylv_coldspot","Abialba_hotspot",0.000418529889437291,"Rs17","vuln"
"360","Pinsylv_hotspot","Abialba_hotspot",4.10413608292804e-07,"Rs17","vuln"
"361","Abialba_hotspot","Pinpine_coldspot",NA,"Rs17","vuln"
"362","Pinpine_coldspot","Pinpine_coldspot",NA,"Rs17","vuln"
"363","Pinpine_hotspot","Pinpine_coldspot",1,"Rs17","vuln"
"364","Pinsylv_coldspot","Pinpine_coldspot",2.42023669079078e-06,"Rs17","vuln"
"365","Pinsylv_hotspot","Pinpine_coldspot",8.26374588126193e-08,"Rs17","vuln"
"366","Abialba_hotspot","Pinpine_hotspot",NA,"Rs17","vuln"
"367","Pinpine_coldspot","Pinpine_hotspot",NA,"Rs17","vuln"
"368","Pinpine_hotspot","Pinpine_hotspot",NA,"Rs17","vuln"
"369","Pinsylv_coldspot","Pinpine_hotspot",2.87890779594304e-09,"Rs17","vuln"
"370","Pinsylv_hotspot","Pinpine_hotspot",3.63842356801715e-14,"Rs17","vuln"
"371","Abialba_hotspot","Pinsylv_coldspot",NA,"Rs17","vuln"
"372","Pinpine_coldspot","Pinsylv_coldspot",NA,"Rs17","vuln"
"373","Pinpine_hotspot","Pinsylv_coldspot",NA,"Rs17","vuln"
"374","Pinsylv_coldspot","Pinsylv_coldspot",NA,"Rs17","vuln"
"375","Pinsylv_hotspot","Pinsylv_coldspot",0.000557871440400876,"Rs17","vuln"
