"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"70","Pinsylv_hotspot","Pinpine_hotspot",1,"age","vuln"
"71","Abialba_hotspot","Pinsylv_coldspot",NA,"age","vuln"
"72","Pinpine_coldspot","Pinsylv_coldspot",NA,"age","vuln"
"73","Pinpine_hotspot","Pinsylv_coldspot",NA,"age","vuln"
"74","Pinsylv_coldspot","Pinsylv_coldspot",NA,"age","vuln"
"75","Pinsylv_hotspot","Pinsylv_coldspot",7.10390323092469e-08,"age","vuln"
"76","Abialba_hotspot","Abialba_coldspot",1,"hegyi_index","vuln"
"77","Pinpine_coldspot","Abialba_coldspot",0.0130642251599459,"hegyi_index","vuln"
"78","Pinpine_hotspot","Abialba_coldspot",2.2559859581378e-08,"hegyi_index","vuln"
"79","Pinsylv_coldspot","Abialba_coldspot",1,"hegyi_index","vuln"
"80","Pinsylv_hotspot","Abialba_coldspot",1,"hegyi_index","vuln"
"81","Abialba_hotspot","Abialba_hotspot",NA,"hegyi_index","vuln"
"82","Pinpine_coldspot","Abialba_hotspot",0.0384509654321151,"hegyi_index","vuln"
"83","Pinpine_hotspot","Abialba_hotspot",5.69245867287815e-08,"hegyi_index","vuln"
"84","Pinsylv_coldspot","Abialba_hotspot",0.401824714158503,"hegyi_index","vuln"
"85","Pinsylv_hotspot","Abialba_hotspot",1,"hegyi_index","vuln"
"86","Abialba_hotspot","Pinpine_coldspot",NA,"hegyi_index","vuln"
"87","Pinpine_coldspot","Pinpine_coldspot",NA,"hegyi_index","vuln"
"88","Pinpine_hotspot","Pinpine_coldspot",1,"hegyi_index","vuln"
"89","Pinsylv_coldspot","Pinpine_coldspot",1.39844336770291e-05,"hegyi_index","vuln"
"90","Pinsylv_hotspot","Pinpine_coldspot",0.00435686307566561,"hegyi_index","vuln"
"91","Abialba_hotspot","Pinpine_hotspot",NA,"hegyi_index","vuln"
"92","Pinpine_coldspot","Pinpine_hotspot",NA,"hegyi_index","vuln"
"93","Pinpine_hotspot","Pinpine_hotspot",NA,"hegyi_index","vuln"
"94","Pinsylv_coldspot","Pinpine_hotspot",3.18073356304087e-18,"hegyi_index","vuln"
"95","Pinsylv_hotspot","Pinpine_hotspot",1.98635360252518e-13,"hegyi_index","vuln"
"96","Abialba_hotspot","Pinsylv_coldspot",NA,"hegyi_index","vuln"
"97","Pinpine_coldspot","Pinsylv_coldspot",NA,"hegyi_index","vuln"
"98","Pinpine_hotspot","Pinsylv_coldspot",NA,"hegyi_index","vuln"
"99","Pinsylv_coldspot","Pinsylv_coldspot",NA,"hegyi_index","vuln"
"100","Pinsylv_hotspot","Pinsylv_coldspot",0.128058412235959,"hegyi_index","vuln"
"101","Abialba_hotspot","Abialba_coldspot",9.70203145724931e-07,"mean_bai","vuln"
"102","Pinpine_coldspot","Abialba_coldspot",1.87194353486229e-05,"mean_bai","vuln"
"103","Pinpine_hotspot","Abialba_coldspot",9.22653769056567e-10,"mean_bai","vuln"
"104","Pinsylv_coldspot","Abialba_coldspot",2.55431229822293e-06,"mean_bai","vuln"
"105","Pinsylv_hotspot","Abialba_coldspot",2.06962541795323e-15,"mean_bai","vuln"
"106","Abialba_hotspot","Abialba_hotspot",NA,"mean_bai","vuln"
"107","Pinpine_coldspot","Abialba_hotspot",1,"mean_bai","vuln"
"108","Pinpine_hotspot","Abialba_hotspot",1,"mean_bai","vuln"
"109","Pinsylv_coldspot","Abialba_hotspot",1,"mean_bai","vuln"
"110","Pinsylv_hotspot","Abialba_hotspot",0.00303212022156081,"mean_bai","vuln"
"111","Abialba_hotspot","Pinpine_coldspot",NA,"mean_bai","vuln"
"112","Pinpine_coldspot","Pinpine_coldspot",NA,"mean_bai","vuln"
"113","Pinpine_hotspot","Pinpine_coldspot",1,"mean_bai","vuln"
"114","Pinsylv_coldspot","Pinpine_coldspot",1,"mean_bai","vuln"
"115","Pinsylv_hotspot","Pinpine_coldspot",0.0648847712295701,"mean_bai","vuln"
"116","Abialba_hotspot","Pinpine_hotspot",NA,"mean_bai","vuln"
"117","Pinpine_coldspot","Pinpine_hotspot",NA,"mean_bai","vuln"
"118","Pinpine_hotspot","Pinpine_hotspot",NA,"mean_bai","vuln"
"119","Pinsylv_coldspot","Pinpine_hotspot",0.0299711482353177,"mean_bai","vuln"
"120","Pinsylv_hotspot","Pinpine_hotspot",0.00111463492592757,"mean_bai","vuln"
"121","Abialba_hotspot","Pinsylv_coldspot",NA,"mean_bai","vuln"
"122","Pinpine_coldspot","Pinsylv_coldspot",NA,"mean_bai","vuln"
"123","Pinpine_hotspot","Pinsylv_coldspot",NA,"mean_bai","vuln"
"124","Pinsylv_coldspot","Pinsylv_coldspot",NA,"mean_bai","vuln"
"125","Pinsylv_hotspot","Pinsylv_coldspot",6.50452390090295e-11,"mean_bai","vuln"
"126","Abialba_hotspot","Abialba_coldspot",8.59455130550237e-09,"mean_1980","vuln"
"127","Pinpine_coldspot","Abialba_coldspot",3.98815047206127e-05,"mean_1980","vuln"
"128","Pinpine_hotspot","Abialba_coldspot",8.43844275002552e-11,"mean_1980","vuln"
"129","Pinsylv_coldspot","Abialba_coldspot",3.56571799349696e-09,"mean_1980","vuln"
"130","Pinsylv_hotspot","Abialba_coldspot",4.86662625880623e-17,"mean_1980","vuln"
"131","Abialba_hotspot","Abialba_hotspot",NA,"mean_1980","vuln"
"132","Pinpine_coldspot","Abialba_hotspot",1,"mean_1980","vuln"
"133","Pinpine_hotspot","Abialba_hotspot",1,"mean_1980","vuln"
"134","Pinsylv_coldspot","Abialba_hotspot",1,"mean_1980","vuln"
"135","Pinsylv_hotspot","Abialba_hotspot",2.35587795051817e-06,"mean_1980","vuln"
"136","Abialba_hotspot","Pinpine_coldspot",NA,"mean_1980","vuln"
"137","Pinpine_coldspot","Pinpine_coldspot",NA,"mean_1980","vuln"
"138","Pinpine_hotspot","Pinpine_coldspot",1,"mean_1980","vuln"
"139","Pinsylv_coldspot","Pinpine_coldspot",1,"mean_1980","vuln"
"140","Pinsylv_hotspot","Pinpine_coldspot",0.000601200856185781,"mean_1980","vuln"
"141","Abialba_hotspot","Pinpine_hotspot",NA,"mean_1980","vuln"
"142","Pinpine_coldspot","Pinpine_hotspot",NA,"mean_1980","vuln"
"143","Pinpine_hotspot","Pinpine_hotspot",NA,"mean_1980","vuln"
"144","Pinsylv_coldspot","Pinpine_hotspot",1,"mean_1980","vuln"
"145","Pinsylv_hotspot","Pinpine_hotspot",3.84959380336272e-08,"mean_1980","vuln"
"146","Abialba_hotspot","Pinsylv_coldspot",NA,"mean_1980","vuln"
"147","Pinpine_coldspot","Pinsylv_coldspot",NA,"mean_1980","vuln"
"148","Pinpine_hotspot","Pinsylv_coldspot",NA,"mean_1980","vuln"
"149","Pinsylv_coldspot","Pinsylv_coldspot",NA,"mean_1980","vuln"
"150","Pinsylv_hotspot","Pinsylv_coldspot",1.14981625157816e-10,"mean_1980","vuln"
"151","Abialba_hotspot","Abialba_coldspot",0.000578769747659306,"mean_20","vuln"
"152","Pinpine_coldspot","Abialba_coldspot",0.0810668897348598,"mean_20","vuln"
"153","Pinpine_hotspot","Abialba_coldspot",4.16850379089305e-05,"mean_20","vuln"
"154","Pinsylv_coldspot","Abialba_coldspot",3.72568240899777e-05,"mean_20","vuln"
