"","plot_id","lat","lon","year","MAP","T_max","T_min"
"1","ADO02",40.66697866,-1.68628757,1950,332.42,15.8628493150685,3.67279452054795
"2","ADO02",40.66697866,-1.68628757,1951,636.1,13.5442465753425,2.58786301369863
"3","ADO02",40.66697866,-1.68628757,1952,495.11,14.9798907103825,2.38614754098361
"4","ADO02",40.66697866,-1.68628757,1953,330.17,15.3605205479452,3.28945205479452
"5","ADO02",40.66697866,-1.68628757,1954,375,14.8554520547945,2.92586301369863
"6","ADO02",40.66697866,-1.68628757,1955,618.87,15.556904109589,4.66413698630137
"7","ADO02",40.66697866,-1.68628757,1956,478.3,13.6356010928962,2.2251912568306
"8","ADO02",40.66697866,-1.68628757,1957,498.72,14.9081917808219,2.97498630136986
"9","ADO02",40.66697866,-1.68628757,1958,430.92,15.0081917808219,3.94375342465753
"10","ADO02",40.66697866,-1.68628757,1959,715.01,14.3597808219178,4.1707397260274
"11","ADO02",40.66697866,-1.68628757,1960,716.26,14.430218579235,3.79773224043716
"12","ADO02",40.66697866,-1.68628757,1961,512.84,16.6062191780822,2.184
"13","ADO02",40.66697866,-1.68628757,1962,557.18,15.4379178082192,1.63523287671233
"14","ADO02",40.66697866,-1.68628757,1963,695.29,14.2248219178082,1.41731506849315
"15","ADO02",40.66697866,-1.68628757,1964,507.68,16.0103278688525,1.49628415300546
"16","ADO02",40.66697866,-1.68628757,1965,559.63,15.0358904109589,1.51334246575342
"17","ADO02",40.66697866,-1.68628757,1966,594.75,15.222,2.1378904109589
"18","ADO02",40.66697866,-1.68628757,1967,441.02,15.6523287671233,1.05441095890411
"19","ADO02",40.66697866,-1.68628757,1968,511.09,15.3518306010929,1.78871584699454
"20","ADO02",40.66697866,-1.68628757,1969,846.77,13.469095890411,1.36671232876712
"21","ADO02",40.66697866,-1.68628757,1970,511.14,15.135397260274,0.802630136986301
"22","ADO02",40.66697866,-1.68628757,1971,795.71,13.5557808219178,0.823315068493151
"23","ADO02",40.66697866,-1.68628757,1972,650.4,13.2171038251366,1.3051912568306
"24","ADO02",40.66697866,-1.68628757,1973,446.61,15.0340547945205,0.965013698630137
"25","ADO02",40.66697866,-1.68628757,1974,564.23,14.5032328767123,1.36567123287671
"26","ADO02",40.66697866,-1.68628757,1975,643.39,14.6326849315068,1.31394520547945
"27","ADO02",40.66697866,-1.68628757,1976,633.74,14.5474863387978,1.15256830601093
"28","ADO02",40.66697866,-1.68628757,1977,680.62,14.3937534246575,1.83164383561644
"29","ADO02",40.66697866,-1.68628757,1978,489.15,14.9098904109589,1.13087671232877
"30","ADO02",40.66697866,-1.68628757,1979,676.33,14.8957808219178,2.15145205479452
"31","ADO02",40.66697866,-1.68628757,1980,456.52,15.2789617486339,0.921065573770492
"32","ADO02",40.66697866,-1.68628757,1981,433.85,16.3097808219178,1.32778082191781
"33","ADO02",40.66697866,-1.68628757,1982,569.9,15.5950410958904,2.40978082191781
"34","ADO02",40.66697866,-1.68628757,1983,349.24,16.5213150684932,1.77904109589041
"35","ADO02",40.66697866,-1.68628757,1984,580.48,14.3927595628415,1.32147540983607
"36","ADO02",40.66697866,-1.68628757,1985,428.14,15.7386849315068,2.34298630136986
"37","ADO02",40.66697866,-1.68628757,1986,579.42,15.1818904109589,2.23701369863014
"38","ADO02",40.66697866,-1.68628757,1987,529.16,15.8820547945205,2.93701369863014
"39","ADO02",40.66697866,-1.68628757,1988,586.39,15.7280327868852,2.02314207650273
"40","ADO02",40.66697866,-1.68628757,1989,586.7,16.4450684931507,3.08279452054795
"41","ADO02",40.66697866,-1.68628757,1990,412.67,16.4117260273973,2.69021917808219
"42","ADO02",40.66697866,-1.68628757,1991,515.72,15.2307945205479,1.97967123287671
"43","ADO02",40.66697866,-1.68628757,1992,395.88,15.6551366120219,1.45213114754098
"44","ADO02",40.66697866,-1.68628757,1993,468.64,15.2532602739726,1.14561643835616
"45","ADO02",40.66697866,-1.68628757,1994,357.26,17.174,2.55304109589041
"46","ADO02",40.66697866,-1.68628757,1995,460.37,16.7243561643836,2.28920547945205
"47","ADO02",40.66697866,-1.68628757,1996,656.57,15.3995628415301,2.05071038251366
"48","ADO02",40.66697866,-1.68628757,1997,607.07,16.5921095890411,2.97386301369863
"49","ADO02",40.66697866,-1.68628757,1998,456.57,16.1562191780822,2.14747945205479
"50","ADO02",40.66697866,-1.68628757,1999,538.77,15.679095890411,2.12208219178082
"51","ADO02",40.66697866,-1.68628757,2000,468.71,16.4094535519126,1.78803278688525
"52","ADO02",40.66697866,-1.68628757,2001,337.01,16.1362465753425,2.2093698630137
"53","ADO02",40.66697866,-1.68628757,2002,624.75,16.0764931506849,2.95832876712329
"54","ADO02",40.66697866,-1.68628757,2003,593.36,16.3700547945205,3.0581095890411
"55","ADO02",40.66697866,-1.68628757,2004,511.72,15.9887704918033,2.15010928961749
"56","ADO02",40.66697866,-1.68628757,2005,354.26,16.5967671232877,1.66493150684932
"57","ADO02",40.66697866,-1.68628757,2006,505.22,17.1424383561644,3.27912328767123
"58","ADO02",40.66697866,-1.68628757,2007,451.66,16.1483561643836,2.03109589041096
"59","ADO02",40.66697866,-1.68628757,2008,644.05,15.645737704918,2.31846994535519
"60","ADO02",40.66697866,-1.68628757,2009,431.24,17.3044383561644,3.09843835616438
"61","ADO02",40.66697866,-1.68628757,2010,653.67,15.3098356164384,2.63284931506849
"62","ADO02",40.66697866,-1.68628757,2011,443.2,17.4738904109589,3.12167123287671
"63","ADO02",40.66697866,-1.68628757,2012,418.43,16.6863387978142,2.3127868852459
"64","ADO02",40.66697866,-1.68628757,2013,573.3,15.3880273972603,2.34076712328767
"65","ADO02",40.66697866,-1.68628757,2014,523.2,16.7736712328767,3.48991780821918
"66","ADO02",40.66697866,-1.68628757,2015,408.21,17.7300821917808,3.25419178082192
"67","ADO02",40.66697866,-1.68628757,2016,478.94,16.964043715847,3.17234972677596
"68","ADO02",40.66697866,-1.68628757,2017,337.07,18.272602739726,2.77742465753425
"69","ADO02",40.66697866,-1.68628757,2018,723.75,16.1897808219178,3.39178082191781
"70","ADO02",40.66697866,-1.68628757,2019,422.17,17.3838630136986,2.83632876712329
"71","ADO02",40.66697866,-1.68628757,2020,559.86,17.2667759562842,3.57109289617486
"72","ADO02",40.66697866,-1.68628757,2021,569.92,16.5734520547945,2.9533698630137
"73","ADO02",40.66697866,-1.68628757,2022,421.72,18.2951780821918,3.98775342465753
"74","ADO03",40.66694517,-1.68708864,1950,332.42,15.8628493150685,3.67279452054795
"75","ADO03",40.66694517,-1.68708864,1951,636.1,13.5442465753425,2.58786301369863
"76","ADO03",40.66694517,-1.68708864,1952,495.11,14.9798907103825,2.38614754098361
"77","ADO03",40.66694517,-1.68708864,1953,330.17,15.3605205479452,3.28945205479452
"78","ADO03",40.66694517,-1.68708864,1954,375,14.8554520547945,2.92586301369863
"79","ADO03",40.66694517,-1.68708864,1955,618.87,15.556904109589,4.66413698630137
