"","variable","estimate_healthy","estimate_damaged","std_error_healthy","std_error_damaged","df_healthy","df_damaged","t_val_healthy","t_val_damaged","p_val_healthy","p_val_damaged","ci_lower_healthy","ci_upper_healthy","ci_lower_damaged","ci_upper_damaged"
"1","height",14.6316470340318,14.3978047167299,0.843716981623915,0.373394922646905,4.94968405088702,138.278621388959,17.3418899378676,-0.626260034936502,1.26960142801768e-05,0.532176830973775,12.4490209279006,16.814273140163,12.1823245075839,16.6132849258758
"2","dbh",38.9017333680493,39.0157853149386,2.8806793139196,1.34876261945672,5.10115767413481,139.467136687338,13.5043609957117,0.0845604298666241,3.45878825187321e-05,0.932732120045908,31.5101447908206,46.2933219452779,31.507913508926,46.5236571209511
"3","hegyi_index",15.312732032288,14.1597181024674,1.95464869534879,1.38244403491737,7.36188746619386,138.994240188935,7.83400724064927,-0.834040222025767,7.97509391152734e-05,0.405689401784798,10.6576230987368,19.9678409658392,9.51042585152198,18.8090103534127
"4","wc_22",53.8784157285544,52.1279299924186,1.00399357275927,0.653870545805288,6.53523411494355,140.910736735458,53.6641042237756,-2.67711360813774,6.8389780163437e-10,0.00830743125999914,51.446378260656,56.3104531964528,49.6770601779355,54.5787998069018
"5","percent_c",49.5768036511914,49.6146653521565,0.71524244409715,0.290141655870738,4.79603573369763,138.904360835701,69.3146835179393,0.130493847398234,2.19905139192455e-08,0.896364516635032,47.7082874542626,51.4453198481201,47.7197357351934,51.5095949691196
"6","percent_n",1.54507133808139,1.46732340559955,0.223444352951083,0.0609379083155913,4.33019600772888,137.883613358455,6.91479250952312,-1.27585495844714,0.00170515120670038,0.204151909686894,0.942307368912757,2.14783530725003,0.859672016727462,2.07497479447163
"7","cn",35.4077933826143,36.7783583102047,4.42477280416748,0.95289228360109,4.20375631676051,137.556186634155,8.00217207746021,1.43832094264726,0.00107083108733653,0.152614297534352,23.3444025080274,47.4711842572013,24.6499982258124,48.906718394597
"8","sla_22",44.2798201493267,44.5411097189956,4.677701580131,1.25988333673599,4.32868877269253,123.628857764995,9.4661490030509,0.207391876731872,0.000471262824663894,0.836045053380739,31.6727523790681,56.8868879195854,31.8252193952712,57.2570000427201
"9","age",112.871963474988,131.323870059811,16.2292546583356,6.02505051450005,4.5814433600595,127.360614815502,6.95484579244154,3.06253143279326,0.00133883082093985,0.00267835450486851,70.0889173586964,155.655009591279,87.9945620356666,174.653178083956
"10","chlor_a_fw_22",792.74362454729,709.997548931516,54.8777015018301,32.8919949933254,6.03045284453757,139.582194397639,14.445641906501,-2.51569038705511,6.61244615849379e-06,0.0130127879973476,657.512809299273,927.974439795307,573.070900075616,846.924197787416
"11","chlor_b_fw_22",353.504401358645,331.343622005508,21.648135672677,13.8059265301336,6.47043656324174,139.830181402302,16.3295540412202,-1.60516422456453,1.67924645466295e-06,0.11071380313554,300.805405354299,406.20339736299,278.160907820801,384.526336190215
"12","total_chl_fw_22",1145.99078773534,1041.32227498315,75.7085163365567,45.5082828055668,6.06599634479364,139.59620613756,15.1368808053367,-2.29998818455517,4.77476043876206e-06,0.0229316988897955,959.530931264042,1332.45064420665,852.54699881385,1230.09755115244
"13","xc_fw_22",38.7593595103272,36.7023256644642,1.50714083845213,1.28923939070923,10.0103785709471,137.350052786872,25.717145021519,-1.59554064255773,1.7845497813828e-10,0.112889792321783,35.308592401931,42.2101266187233,33.4056967305285,39.9989545983999
"14","chla_chlb_22",2.24105136222897,2.14898681442532,0.052540107510798,0.0440428524057875,8.45707355272623,137.730209454117,42.6541068985896,-2.09034026578045,3.58017551618291e-11,0.0384253189986922,2.12029074947713,2.3618119749808,2.03278278774931,2.26519084110134
"15","chl_xc_22",29.4082338349455,28.2801662873615,1.29701266364665,0.560096539340526,4.8566019585902,138.08507282153,22.6738216666767,-2.01405912793567,4.0876683491312e-06,0.0459458403863637,26.0437358597184,32.7727318101726,24.8656956626849,31.6946369120381
"16","leaf_d13c",-26.6135956514243,-26.5573241477788,0.649783522677421,0.163079558431592,4.2742198447731,137.748005531484,-40.9576339236234,0.345055531095805,1.03771829738351e-06,0.730578940840896,-28.3739573954034,-24.8532339074452,-28.3300951306988,-24.7845531648588
"17","leaf_d15n",-5.94818450040674,-6.2133397267423,0.596637526949362,0.284562611353263,5.11759343176736,139.538416322192,-9.96951118851024,-0.931799244723648,0.00015201155171056,0.353049685506986,-7.47510808491898,-4.42126091589449,-7.76444501263893,-4.66223444084567
