"","Group1","Group2","P_value_adjusted","Variable","Tipo","significant","grupo1","grupo2","match"
"238","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.996459209105417,"Rs12","var",0,"Pinsylv","Pinsylv","Yes"
"240","Abialba_hot_healthy","Abialba_hot_damaged",1,"Rs17","var",0,"Abialba","Abialba","Yes"
"245","all_hot_healthy","all_hot_damaged",1,"Rs17","var",0,"all","all","Yes"
"250","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"Rs17","var",0,"Pinpine","Pinpine","Yes"
"255","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"Rs17","var",0,"Pinsylv","Pinsylv","Yes"
"257","Abialba_hot_healthy","Abialba_hot_damaged",1,"wc_22","var",0,"Abialba","Abialba","Yes"
"262","all_hot_healthy","all_hot_damaged",1,"wc_22","var",0,"all","all","Yes"
"267","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"wc_22","var",0,"Pinpine","Pinpine","Yes"
"272","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"wc_22","var",0,"Pinsylv","Pinsylv","Yes"
"274","Abialba_hot_healthy","Abialba_hot_damaged",1,"sla_22","var",0,"Abialba","Abialba","Yes"
"279","all_hot_healthy","all_hot_damaged",1,"sla_22","var",0,"all","all","Yes"
"284","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"sla_22","var",0,"Pinpine","Pinpine","Yes"
"289","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"sla_22","var",0,"Pinsylv","Pinsylv","Yes"
"291","Abialba_hot_healthy","Abialba_hot_damaged",1,"total_chl_fw_22","var",0,"Abialba","Abialba","Yes"
"296","all_hot_healthy","all_hot_damaged",1,"total_chl_fw_22","var",0,"all","all","Yes"
"301","Pinpine_hot_healthy","Pinpine_hot_damaged",0.202813216066548,"total_chl_fw_22","var",0,"Pinpine","Pinpine","Yes"
"306","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.0395397648681785,"total_chl_fw_22","var",1,"Pinsylv","Pinsylv","Yes"
"308","Abialba_hot_healthy","Abialba_hot_damaged",1,"chlor_a_fw_22","var",0,"Abialba","Abialba","Yes"
"313","all_hot_healthy","all_hot_damaged",1,"chlor_a_fw_22","var",0,"all","all","Yes"
"318","Pinpine_hot_healthy","Pinpine_hot_damaged",0.28028570463082,"chlor_a_fw_22","var",0,"Pinpine","Pinpine","Yes"
"323","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.0161756729611045,"chlor_a_fw_22","var",1,"Pinsylv","Pinsylv","Yes"
"325","Abialba_hot_healthy","Abialba_hot_damaged",1,"chlor_b_fw_22","var",0,"Abialba","Abialba","Yes"
"330","all_hot_healthy","all_hot_damaged",1,"chlor_b_fw_22","var",0,"all","all","Yes"
"335","Pinpine_hot_healthy","Pinpine_hot_damaged",0.193476450132329,"chlor_b_fw_22","var",0,"Pinpine","Pinpine","Yes"
"340","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.369420845976272,"chlor_b_fw_22","var",0,"Pinsylv","Pinsylv","Yes"
"342","Abialba_hot_healthy","Abialba_hot_damaged",1,"chla_chlb_22","var",0,"Abialba","Abialba","Yes"
"347","all_hot_healthy","all_hot_damaged",1,"chla_chlb_22","var",0,"all","all","Yes"
"352","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"chla_chlb_22","var",0,"Pinpine","Pinpine","Yes"
"357","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"chla_chlb_22","var",0,"Pinsylv","Pinsylv","Yes"
"359","Abialba_hot_healthy","Abialba_hot_damaged",1,"xc_fw_22","var",0,"Abialba","Abialba","Yes"
"364","all_hot_healthy","all_hot_damaged",1,"xc_fw_22","var",0,"all","all","Yes"
"369","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"xc_fw_22","var",0,"Pinpine","Pinpine","Yes"
"374","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"xc_fw_22","var",0,"Pinsylv","Pinsylv","Yes"
"376","Abialba_hot_healthy","Abialba_hot_damaged",1,"chl_xc_22","var",0,"Abialba","Abialba","Yes"
"381","all_hot_healthy","all_hot_damaged",1,"chl_xc_22","var",0,"all","all","Yes"
"386","Pinpine_hot_healthy","Pinpine_hot_damaged",0.0398692904717776,"chl_xc_22","var",1,"Pinpine","Pinpine","Yes"
"391","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.0115922748321782,"chl_xc_22","var",1,"Pinsylv","Pinsylv","Yes"
"393","Abialba_hot_healthy","Abialba_hot_damaged",1,"percent_c","var",0,"Abialba","Abialba","Yes"
"398","all_hot_healthy","all_hot_damaged",1,"percent_c","var",0,"all","all","Yes"
"403","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"percent_c","var",0,"Pinpine","Pinpine","Yes"
"408","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"percent_c","var",0,"Pinsylv","Pinsylv","Yes"
"410","Abialba_hot_healthy","Abialba_hot_damaged",1,"percent_n","var",0,"Abialba","Abialba","Yes"
"415","all_hot_healthy","all_hot_damaged",0.681417709515845,"percent_n","var",0,"all","all","Yes"
"420","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"percent_n","var",0,"Pinpine","Pinpine","Yes"
