"","variable","delta_aic","estimate_healthy","estimate_damaged","ci_upper_damaged","ci_upper_healthy","ci_lower_healthy","ci_lower_damaged","sp_id"
"1","height",4.05554023593737,24.0556001785107,2.83292637198244,53.0975352100192,51.9624470397217,-3.84286028012483,0.611420302056821,"aa"
"2","dbh",2.04174811635244,43.9894916243457,6.98770120821912,103.920113038583,101.150348486374,-13.1006128724744,-2.2430766450677,"aa"
"3","hegyi_index",-1.24403702443749,13.9647424464495,1.90445210534521,62.4538007143034,62.2481152235886,-34.3396385774605,-30.8904803338059,"aa"
"4","wc_22",-1.11061784884583,50.1849709895318,-1.27811846022055,77.3069843374017,80.5648632122296,19.7941536559463,20.5954326216254,"aa"
"5","percent_c",-1.7553614693463,47.5695694197657,-0.176723074421947,50.098574384722,50.6292685984683,44.5043734410373,44.7317523221753,"aa"
"6","percent_n",-1.43049892727155,1.17946979521476,-0.0310587126221756,1.24328672741471,1.26748821089006,1.09145137953945,1.05353543777046,"aa"
"7","cn",-1.80353407450872,41.1311575216933,0.675077802822354,48.4872959694238,48.4544374466214,33.7752519398698,35.3900950135972,"aa"
"8","sla_22",0.889985782025576,46.3201183377234,-3.58459590010254,47.5441416507602,50.7811899385528,41.8590467368941,37.9269032244816,"aa"
"9","age",9.51035311133199,73.3682891478835,20.6513195241341,123.283917191293,115.191602942375,30.9525610799881,64.5736264422317,"aa"
"10","chlor_a_fw_22",-1.99621313693694,911.392577283821,3.13836277430932,2746.9372136765,2810.34215105083,-987.283676859832,-920.094688901644,"aa"
"11","chlor_b_fw_22",-1.94581988097832,443.822150670827,4.32285157699488,980.493129519362,1002.79680026951,-115.033343490458,-85.1706671753699,"aa"
"12","total_chl_fw_22",-1.98852507591221,1355.24827477106,7.15526738570652,3750.29360562089,3830.51060901732,-1119.65458760573,-1028.40543288741,"aa"
"13","xc_fw_22",-1.96320821084799,53.5484144288371,0.412777525294808,71.0857647756181,73.2225447525745,33.9061588544954,36.5777961675528,"aa"
"14","chla_chlb_22",-1.93496572693978,2.03488187021786,-0.0164682754243569,3.45656681569614,3.57153002029451,0.498733058212885,0.576205748749347,"aa"
"15","chl_xc_22",-1.85021804283286,25.2940002807924,-0.284956390625232,58.1299182652383,59.2605931136005,-8.66933475761107,-8.13828377545086,"aa"
"16","leaf_d13c",-0.846385446090267,-28.3270908495749,-0.322018092028116,-24.1480384301419,-23.3969698971266,-33.2602356409154,-33.1256258812559,"aa"
"17","leaf_d15n",-1.49667483128354,-3.01464584482573,-0.21678330736193,-0.0757612286450113,0.521696557407402,-6.55489336940596,-6.3553874822721,"aa"
"18","leaf_d18o_corrected",-1.99999995738725,19.6059566595594,5.34876971557136e-05,36.2307739924026,36.4625842771794,2.75016496322036,2.9744586212916,"aa"
"19","mean_1980",-1.14982838600463,866.181730863848,168.720613267733,2405.35870881852,2748.34425184465,-1031.80743828658,-340.407525994047,"aa"
"20","mean_05",-0.31265007876641,792.995200272739,-168.95424009351,1227.471872891,1714.9562600316,-143.415644646361,11.1144743621537,"aa"
"21","Rt12",2.25045915155378,0.789473176653402,0.0929301307735185,1.753793919434,1.8330645092809,-0.256220251724689,0.00963131821230612,"aa"
"22","Rt17",-1.97236285069857,0.897780662847771,-0.00905580431331015,0.999274791137253,1.04360695731889,0.751954368376656,0.778174925931669,"aa"
"23","Rt22",2.47080746195296,0.6459116649951,-0.0918296723734714,0.642955182391545,0.756069240119859,0.535754089870342,0.465208802851713,"aa"
"24","Rs12",-1.99658499904066,0.93270163383311,0.0040689903536039,1.16072043090429,1.27255048416645,0.582733315323052,0.706170881238727,"aa"
"25","Rs17",-1.84587446675615,0.884278956476211,0.0380624548890901,1.36470898757268,1.57199172621044,0.205875471048217,0.491789465238922,"aa"
"26","height",-1.61398168161759,14.630948008374,-0.231121816192487,16.6132849258758,16.814273140163,12.4490209279006,12.1823245075839,"ps"
"27","dbh",-1.99416587482949,38.9111552455037,0.102557702269251,46.5236571209511,46.2933219452779,31.5101447908206,31.507913508926,"ps"
"28","hegyi_index",-1.24131963378295,15.3628031878513,-1.20627984869001,18.8090103534127,19.9678409658392,10.6576230987368,9.51042585152198,"ps"
"29","wc_22",5.08133332436955,53.883639395931,-1.75032196146125,54.5787998069018,56.3104531964528,51.446378260656,49.6770601779355,"ps"
"30","percent_c",-1.98677763236105,49.5794754694492,0.0332587643334299,51.5095949691196,51.4453198481201,47.7082874542626,47.7197357351934,"ps"
"31","percent_n",-0.403811071890487,1.54468881665466,-0.0770037432642057,2.07497479447163,2.14783530725003,0.942307368912757,0.859672016727462,"ps"
"32","cn",0.0448659162402691,35.4111483468034,1.36332318260024,48.906718394597,47.4711842572013,23.3444025080274,24.6499982258124,"ps"
"33","sla_22",-1.95332686508345,44.2771385165317,0.271102312404123,57.2570000427201,56.8868879195854,31.6727523790681,31.8252193952712,"ps"
"34","age",7.14364291675588,112.842687066267,18.4596751092339,174.653178083956,155.655009591279,70.0889173586964,87.9945620356666,"ps"
"35","chlor_a_fw_22",4.37266795588698,793.963267020468,-83.8211477024217,846.924197787416,927.974439795307,657.512809299273,573.070900075616,"ps"
"36","chlor_b_fw_22",0.666710489024354,354.008398073291,-22.6254268518133,384.526336190215,406.20339736299,300.805405354299,278.160907820801,"ps"
"37","total_chl_fw_22",3.35714980248531,1147.65135296971,-106.149614095543,1230.09755115244,1332.45064420665,959.530931264042,852.54699881385,"ps"
"38","xc_fw_22",0.643386074729165,38.8024646929723,-2.09937480415417,39.9989545983999,42.2101266187233,35.308592401931,33.4056967305285,"ps"
"39","chla_chlb_22",2.44435076843001,2.24273859627274,-0.0928887082085837,2.26519084110134,2.3618119749808,2.12029074947713,2.03278278774931,"ps"
"40","chl_xc_22",2.11126446135347,29.4229196936114,-1.14017397152003,31.6946369120381,32.7727318101726,26.0437358597184,24.8656956626849,"ps"
"41","leaf_d13c",-1.88642713954494,-26.6130509124906,0.0547831235359791,-24.7845531648588,-24.8532339074452,-28.3739573954034,-28.3300951306988,"ps"
"42","leaf_d15n",-1.08107955585149,-5.94372252433956,-0.272724471858735,-4.66223444084567,-4.42126091589449,-7.47510808491898,-7.76444501263893,"ps"
"43","leaf_d18o_corrected",-1.79411475750794,18.6728971339364,0.156341905994732,21.1177753112161,20.9275693536654,16.410887601258,16.5380551982741,"ps"
"44","mean_1980",9.08331734495823,683.050894500452,-207.45895263197,742.963084328932,946.595220120258,418.434792379755,207.553341125973,"ps"
"45","mean_05",19.8489512749304,726.302706464546,-342.383365062405,623.713259687491,966.951334826463,486.341086415646,143.66546347039,"ps"
"46","Rt12",-0.00632672968425396,0.685887696899846,-0.0622051986800069,0.915861739501208,0.973937670835361,0.39748555410092,0.331522075318291,"ps"
"47","Rt17",-0.318393800682635,1.02339465288686,-0.0746862117235881,1.2331476408475,1.3039911727799,0.742713811467754,0.663348535737761,"ps"
"48","Rt22",-1.97391888248666,0.958704826131174,-0.00929914774055713,1.15403153222003,1.16218783011513,0.755113315271614,0.746155567813511,"ps"
"49","Rs12",2.52156367715411,0.739058967581307,-0.0759388308705641,0.791179969318936,0.866034896085932,0.610495847460239,0.534602319669778,"ps"
"50","Rs17",0.690462083704318,1.51635840749843,-0.151298236292858,1.98251355025822,2.12702299030763,0.907076978323122,0.746819563162419,"ps"
"51","height",-0.952872101426181,12.4878607346741,0.712096855666329,41.2870677768325,42.779313375071,-17.8231022994567,-14.8723391490581,"pp"
"52","dbh",-1.03902722010798,45.833152176141,2.29306561604838,59.0998021116571,62.835517377168,28.5721883260434,37.3489768914602,"pp"
"53","hegyi_index",-0.306760521630395,28.342135842443,4.76393549466597,46.6905638334781,50.4099853502109,6.74100631622971,19.1672173732629,"pp"
"54","wc_22",-1.50611162372519,54.689317754602,-0.337769188471363,55.6967573057693,56.8549026963269,52.5831285859608,52.946172679732,"pp"
"55","percent_c",-1.75515301551007,47.3425477690426,0.199061376497407,55.6405452117691,57.2034613804517,37.4629253044301,39.4537899341164,"pp"
"56","percent_n",0.342989940794851,1.00518744979544,-0.0532638033052332,1.4025219283215,1.61125948002842,0.401207383167776,0.500082313820939,"pp"
"57","cn",0.384826349612354,48.1556120854354,2.57193927106868,80.8252462871419,85.558575063824,10.6709321731117,20.6784128648716,"pp"
"58","sla_22",-1.47187084286151,42.3847538829698,-0.590751376888319,69.027384829436,72.505327164625,12.2478972037606,14.5825287539814,"pp"
"59","age",-0.902764589247681,116.603083096581,8.61827332429216,230.104617254485,257.571233425803,-24.8698311569692,20.6380277741774,"pp"
"60","chlor_a_fw_22",6.06604771829052,482.400396165105,-81.6472946228454,456.58274823881,557.576705725559,407.224086604651,344.92345484571,"pp"
"61","chlor_b_fw_22",6.63875706136548,230.719729121729,-35.6085179398621,218.586158543396,262.329456465297,199.110001778161,171.636263820338,"pp"
"62","total_chl_fw_22",6.53812993138786,713.120125286834,-117.255812562708,673.650259913081,817.861258203429,608.37899237024,518.078365535173,"pp"
"63","xc_fw_22",1.4073434874752,28.4464221509402,-2.42202178171905,30.3525511402693,35.0646552173867,21.6445809868234,21.8356557464042,"pp"
"64","chla_chlb_22",-0.121831153834008,2.10527051026905,-0.0795918997383736,2.14121606390222,2.26084518921506,1.94969583132304,1.91014115715915,"pp"
"65","chl_xc_22",9.81785762967007,25.0858047931978,-2.51188205897053,26.1749600344148,30.7751064099977,19.4680161625761,18.9185885371268,"pp"
"66","leaf_d13c",1.36267224743898,-25.4330669561638,0.575566431260652,-20.3160849460952,-19.5141447656,-31.36954652108,-29.3884834609797,"pp"
"67","leaf_d15n",2.98820825656523,-3.55546976651396,-0.831794023362852,3.8873547583697,6.3051810687116,-13.4004954917316,-12.6711668237803,"pp"
"68","leaf_d18o_corrected",-1.46322953409918,20.3389470694389,-0.20308231969533,20.6803609397601,21.0917420638233,19.5861520750545,19.5913685597271,"pp"
"69","mean_1980",-1.99833936525647,880.88656097561,-3.99112619300129,1069.68515183538,1147.42861696631,614.34450498491,684.105717729838,"pp"
"70","mean_05",0.719064918437198,879.454853658536,-173.234071049841,910.828816884007,1162.33636290952,596.57334440755,501.612748333384,"pp"
"71","Rt12",-1.26551120879325,0.664314234161775,-0.0351312926575601,1.51392624604587,1.72882239229202,-0.39838301657744,-0.256636409458229,"pp"
"72","Rt17",-0.720093358082281,0.763580252436564,-0.0415354615817663,2.12605608187729,2.29741195398189,-0.769191903525158,-0.68259608522464,"pp"
"73","Rt22",5.3302413255163,1.46462420850758,-0.284048583772098,4.78608658440943,5.44684573290324,-2.51445274997723,-2.4268038451172,"pp"
"74","Rs12",-1.86061423272678,1.15654591560982,-0.0207947597603513,1.76087460584367,2.02230154032232,0.287072698143431,0.512836710245244,"pp"
"75","Rs17",-1.0028882486137,0.843998965405496,-0.0483824153105718,1.58815607875292,1.85579799256862,-0.165244380938615,0.0015584284864818,"pp"
