"","variable","estimate_healthy","estimate_damaged","std_error_healthy","std_error_damaged","df_healthy","df_damaged","t_val_healthy","t_val_damaged","p_val_healthy","p_val_damaged","ci_lower_healthy","ci_upper_healthy","ci_lower_damaged","ci_upper_damaged"
"1","height",16.10488867697,16.9848878706595,0.803171780328841,0.366048628155565,56.9843044417935,217.889947953119,20.0516117117265,2.40404997041947,1.70996851674083e-27,0.0170512571494758,14.4964651321478,17.7133122217923,15.3959373469526,18.5738383943665
"2","dbh",41.7873851525905,44.070307988383,1.3581278325321,1.1819401577352,78.8455407181956,244.518443483099,30.768374045234,1.93150458663399,1.10979559919944e-45,0.054576371404093,39.082008355595,44.4927619495861,41.5018578831258,46.6387580936401
"3","hegyi_index",19.1481411514987,18.7743882246942,1.53416227665952,1.21184306570636,74.4062684097338,232.230994386872,12.4811706315656,-0.308416937292691,6.30659335974344e-20,0.758041568218259,16.0893919311979,22.2068903717995,15.8555758333506,21.6932006160377
"4","wc_22",53.1158319340169,52.095724057594,0.511565341426405,0.502095084297116,89.2051871820303,250.815959319756,103.830004952863,-2.03170257651685,7.82801849601088e-95,0.0432379618904949,52.0976637864281,54.1340000816056,51.1397227825497,53.0517253326382
"5","percent_c",48.5006226502093,48.6162539927423,0.264983983958905,0.202615757035995,72.3971088559514,236.042533850897,183.032279632912,0.570692744851586,2.85664032584612e-98,0.568750820144962,47.972100345402,49.0291449550166,48.1068070998071,49.1257008856776
"6","percent_n",1.32357053859631,1.31217305748428,0.0629176490542266,0.0350233625392317,60.3499878202517,222.218467346202,21.0365542656491,-0.325425095870102,1.78524751440083e-29,0.745165563984755,1.19773327833442,1.44940779885819,1.18867036331542,1.43567575165314
"7","cn",39.6691830243783,40.6020840428903,1.39851976215023,0.748807388622092,59.4483594068097,221.114156531946,28.3651215363498,1.24584910978059,2.99893656080021e-36,0.21413824669079,36.8713268481023,42.4670392006543,37.8521235891839,43.3520444965967
"8","sla_22",45.0209331855693,45.0505441833871,1.1579724097932,0.906461250420266,72.927038199017,218.372907427409,38.8791069673322,0.0326665897787397,1.68647780071651e-50,0.97397030492523,42.7109974687827,47.3308689023558,42.8590620463395,47.2420263204347
"9","age",108.103490543133,118.448400254981,5.08381813950658,3.29157806331075,63.369758147693,200.914428828437,21.2642324285867,3.1428419781854,1.5192196144251e-30,0.00192631120298784,97.9401588156153,118.266822270651,108.500661482201,128.39613902776
"10","chlor_a_fw_22",757.093467131976,689.035947037429,33.7739077948546,22.4305738539756,65.9558221247713,228.81643312379,22.4165196319781,-3.03414083552231,1.47105416300198e-32,0.00269094248351097,689.642317378011,824.54461688594,623.419773992241,754.652120082617
"11","chlor_b_fw_22",348.671851530386,326.637990500679,14.4128926218085,9.60252174242217,66.1260819790338,228.983565663991,24.1916637193843,-2.29459111062101,1.46608594819378e-34,0.0226624403685616,319.888130399455,377.455572661317,298.642534438192,354.633446563166
"12","total_chl_fw_22",1105.8873748592,1015.58698450082,47.639116279448,31.30971370114,65.5998052990939,228.37927173463,23.2138515830592,-2.88410143958274,2.40494947542092e-33,0.00430059343320842,1010.73667197463,1201.03807774378,922.968659156702,1108.20530984494
"13","xc_fw_22",39.5461115260192,37.7733918853933,1.49702442728815,0.930564086104787,63.8515833448953,226.222337508139,26.4164771163132,-1.90499468773426,4.41260745708898e-36,0.0580490148718599,36.5546388737703,42.5375841782682,34.8527805497799,40.6940032210067
"14","chla_chlb_22",2.16547092642347,2.10567487298904,0.030457904997917,0.0285445264604328,84.8402364677726,250.021449161834,71.0971725261986,-2.09483431148589,2.15365445495057e-77,0.0371922728956547,2.10483257896204,2.2261092738849,2.04847516351528,2.1628745824628
"15","chl_xc_22",27.9307668346641,26.5942892639013,0.561585717122492,0.395544604750748,67.733257681772,231.279183939631,49.7355363269894,-3.37882897329617,4.73835850987061e-55,0.000854162106709144,26.8098028116667,29.0517308576615,25.5078306440845,27.680747883718
"16","leaf_d13c",-26.8334774276469,-26.6835846326733,0.239750856761071,0.140663691961759,61.8980378763566,223.993995020685,-111.922342177022,1.06561112454189,3.67997080194118e-73,0.287746741434538,-27.3127962893082,-26.3541585659856,-27.1529860560156,-26.214183209331
"17","leaf_d15n",-4.79532261408731,-5.08852610755639,0.274247913639337,0.185789972067217,64.8543327633375,228.665323479853,-17.4853567724626,-1.57814488159249,3.08126568170748e-26,0.115914681765412,-5.34294336707119,-4.24770186110342,-5.62084423428348,-4.55620798082931
"18","leaf_d18o_corrected",19.5836537325992,19.4585270213693,0.251807619903798,0.208501844259804,77.4583118870115,241.223974616503,77.7722840161906,-0.600122803105706,2.79625407083662e-75,0.548987739109401,19.0817936451552,20.0855138200432,18.9781381716367,19.9389158711019
"19","mean_1980",742.966231095952,705.301591732297,55.0973032875407,53.7267060486731,78.6956313006025,224.36861518977,13.484620603273,-0.701041290890479,3.72499659458788e-22,0.484003663543979,633.161869550103,852.770592641801,600.831542749406,809.771640715187
"20","mean_05",765.814596902544,509.320835010506,46.6887478385303,52.3397612144555,91.0360095184177,227.944977838296,16.4025516287363,-4.90055277174627,6.3120936743566e-29,1.8135352581153e-06,672.754912219669,858.874281585418,421.554064752066,597.087605268945
"21","Rt12",0.696814265376487,0.673888706425042,0.0335708628427253,0.0295214727802557,76.0734609694645,214.016332859338,20.7565193853063,-0.776572331675085,4.6086551042483e-33,0.438268552354132,0.62985917110954,0.763769359643435,0.609342414457244,0.73843499839284
"22","Rt17",0.906722591963407,0.907142247978338,0.0373340741694765,0.0353296446127168,75.4491921166341,217.144049035236,24.286730343101,0.0118782970938596,2.10765231031776e-37,0.990533619003452,0.8322940417076,0.981151142219215,0.835756504204298,0.978527991752377
"23","Rt22",1.04167670588501,0.948239889277347,0.0573099598757452,0.0458854459885353,69.1925492390425,200.987457705887,18.1761897607936,-2.03630616625168,4.72362287261875e-28,0.0430313927599789,0.927263760877504,1.15608965089252,0.836811555151829,1.05966822340286
"24","Rs12",0.894779837015326,0.836788048883878,0.0365031606406628,0.0275947133827806,67.7126090336608,204.268875206793,24.5123934834997,-2.10155428422153,2.17852118425155e-35,0.0368182491656618,0.821889730776753,0.967669943253899,0.765834908348473,0.907741189419283
"25","Rs17",1.17087270446322,1.13035715356588,0.0760788132395859,0.058401788652394,67.1903497848957,199.556323812607,15.3902598450889,-0.693738185631322,1.02999725850345e-23,0.488653142192496,1.01894569640543,1.322799712521,0.982102359578707,1.27861194755306
