"","variable","std","df","t_val","p_val","NA","NA","NA","NA","NA","NA","ci_lower","ci_upper"
"1","height",0.0336267832710147,93.5700247078609,2.48795615526628,0.0146173037026411,NA,NA,NA,NA,NA,NA,25.6459560736014,29.7303462095762
"2","dbh",0.117984866983242,101.777871040012,1.23202158058362,0.220779779902021,NA,NA,NA,NA,NA,NA,49.0580259953107,60.1130833444801
"3","hegyi_index",0.104923236436914,103.41569826066,0.963582710290626,0.337502963253537,NA,NA,NA,NA,NA,NA,11.5419922079223,19.1195300429673
"4","wc_22",0.0413911778766244,105.996736069037,-0.722520219302769,0.471565822993925,NA,NA,NA,NA,NA,NA,48.4151843600386,51.4566480438187
"5","percent_c",0.0107146016357827,105.717027979368,-1.15056662231313,0.252506448395444,NA,NA,NA,NA,NA,NA,47.3969405122524,48.026856711705
"6","percent_n",0.00133725183456546,106.129618390612,-0.526285852926277,0.59978773019037,NA,NA,NA,NA,NA,NA,1.12494984858249,1.20449472506645
"7","cn",0.0504401041471406,103.499210020671,0.432569204455109,0.666227763698122,NA,NA,NA,NA,NA,NA,40.2510136657547,43.0914984577813
"8","sla_22",0.085258897063951,92.3575721872505,-0.256201130434042,0.798365332712192,NA,NA,NA,NA,NA,NA,44.7216466961177,56.8421573446952
"9","age",0.380072388744377,74.8847725825889,1.78632896275941,0.0780937237388857,NA,NA,NA,NA,NA,NA,75.7416076086106,94.1505376233173
"10","chlor_a_fw_22",2.05937111972453,104.854184326524,-0.511206995117113,0.610280902827754,NA,NA,NA,NA,NA,NA,907.620195936547,1077.37313622965
"11","chlor_b_fw_22",0.904689819806107,104.720194473802,-0.479551082565308,0.632546650992289,NA,NA,NA,NA,NA,NA,441.417053224695,493.704591387859
"12","total_chl_fw_22",2.90794187508723,107.464246207936,-0.465180800004773,0.642743250266174,NA,NA,NA,NA,NA,NA,1355.1901943551,1564.64312240822
"13","xc_fw_22",0.0803543692980564,102.959327110439,-0.25146474132786,0.801956041000955,NA,NA,NA,NA,NA,NA,51.7307471904974,56.2155727659908
"14","chla_chlb_22",0.00181930771091308,92.3393401093495,-1.31716772103715,0.191041658643835,NA,NA,NA,NA,NA,NA,1.98598522568351,2.26698745979186
"15","chl_xc_22",0.024860298435542,100.018129405795,-0.424766649697868,0.671919170192164,NA,NA,NA,NA,NA,NA,25.6185982740324,28.1198049375001
"16","leaf_d13c",0.00992869866228979,105.579712842712,0.418136292424325,0.67669671086153,NA,NA,NA,NA,NA,NA,-29.3159707773662,-28.5224657341141
"17","leaf_d15n",0.0113255951402741,102.504075490727,-1.52471921506126,0.130408645536659,NA,NA,NA,NA,NA,NA,-4.04227852994067,-3.01925384631041
"18","leaf_d18o_corrected",0.011113093830002,101.634045042645,-2.07133792984002,0.0408602783343682,NA,NA,NA,NA,NA,NA,19.1840644537218,20.2319414578399
"19","mean_1980",13.2690090878703,74.5516069162459,-1.23738424573764,0.219827701466022,NA,NA,NA,NA,NA,NA,1206.05625771348,2025.84891916768
"20","mean_05",9.20785567444181,73.9847729178793,-0.556235332355562,0.579728462253722,NA,NA,NA,NA,NA,NA,761.460710993104,1238.62675881481
"21","Rt12",0.00188955894279307,73.2664287406315,2.98889288700075,0.00380909800043257,NA,NA,NA,NA,NA,NA,0.741470033382041,0.850538577109851
"22","Rt17",0.00243759617310922,73.8324959783741,0.455015320714777,0.65043338401877,NA,NA,NA,NA,NA,NA,0.814377611646342,0.937244777263591
"23","Rt22",0.00207120366441097,69.2950078953357,-1.46353648217082,0.147842217673948,NA,NA,NA,NA,NA,NA,0.552219556289439,0.65343989274006
"24","Rs12",0.00293057104758635,73.2784556597938,0.235786573838803,0.814256040817834,NA,NA,NA,NA,NA,NA,0.80302498675184,0.972894205535661
"25","Rs17",0.00352749373677917,71.3768480692879,-0.531974185856002,0.596395857428644,NA,NA,NA,NA,NA,NA,0.775232769388666,0.957228601705146
