"","full_model","null_model","variable","delta_aic"
"1",314.497725283598,314.452961191475,"height",0.0447640921236143
"2",424.453575281755,423.595479550471,"dbh",0.858095731283868
"3",343.667123615939,341.960729766082,"hegyi_index",1.7063938498564
"4",331.052601797624,329.42166155709,"wc_22",1.63094024053396
"5",185.922966945077,184.976509664415,"percent_c",0.946457280662599
"6",-45.0038876426609,-46.782842076696,"percent_n",1.77895443403511
"7",342.465148178351,340.748569831143,"cn",1.71657834720799
"8",380.101097957622,379.502482364937,"sla_22",0.598615592684496
"9",328.172733247558,338.567520191322,"age",-10.394786943764
"10",722.523086630646,720.755160631679,"chlor_a_fw_22",1.76792599896669
"11",613.682980928855,611.688826741873,"chlor_b_fw_22",1.99415418698175
"12",751.783868781071,749.901370828903,"total_chl_fw_22",1.88249795216825
"13",376.446018331811,378.8179329312,"xc_fw_22",-2.37191459938941
"14",1.16510453308003,0.259740510792593,"chla_chlb_22",0.905364022287436
"15",264.993559698587,263.127959372222,"chl_xc_22",1.86560032636447
"16",-11.6785811391968,-13.5326634296251,"d13c_centered",1.85408229042823
"17",-16.2369014893744,-16.6485127737774,"d15n_centered",0.411611284403087
"18",-44.8443651064557,-45.6316651225093,"d18o_centered",0.787300016053564
"19",594.178961512598,592.174373206269,"mean_1980",2.00458830632863
"20",549.134909876762,550.571802965721,"mean_05",-1.43689308895864
"21",-39.2496591897054,-37.9585581290351,"Rt12",-1.29110106067025
"22",-24.3319746272297,-26.2741050195063,"Rt17",1.94213039227665
"23",-48.745994905644,-40.5024113495212,"Rt22",-8.24358355612288
"24",-6.14582945075546,-8.0369873140644,"Rs12",1.89115786330894
"25",16.0205224570538,14.0086921361406,"Rs17",2.01183032091317
