"","variable","estimate_healthy","estimate_damaged","std_error_healthy","std_error_damaged","df_healthy","df_damaged","t_val_healthy","t_val_damaged","p_val_healthy","p_val_damaged","ci_lower_healthy","ci_upper_healthy","ci_lower_damaged","ci_upper_damaged"
"1","height",23.7913926990828,27.5905685858505,1.21485986082903,1.16354956745396,14.5302860363017,48.833659316928,19.5836519636491,3.26516032753197,7.50918392543388e-12,0.00200315227458537,21.1824392862514,26.4003461119142,24.9257175401807,30.2554196315203
"2","dbh",43.6093263863622,52.0959990135614,3.41459284008595,3.42282516195899,15.2630705828124,48.8424307912428,12.7714572216067,2.47943503557219,1.48597720587006e-09,0.0166584452375049,36.2918156396002,50.9268371331243,44.6762503386572,59.5157476884656
"3","hegyi_index",14.4681606072063,16.0737367196883,2.3912851906008,2.26335573050241,15.080602309124,44.6979485986563,6.05037017921364,0.709378596940932,2.17101394096617e-05,0.481773699029709,9.3268593358223,19.6094618785903,11.0076490209796,21.1398244183971
"4","wc_22",49.9996896702992,48.5663089123949,1.325706539046,1.48497093067794,16.4963898165397,51.0750826753732,37.7155035429485,-0.965258462837311,1.91412550802383e-17,0.338963694525125,47.1684198061645,52.8309595344338,45.6435640751748,51.489053749615
"5","percent_c",47.5948831896264,47.3409235876974,0.311385596029915,0.35859969697815,16.5324807132414,51.4014485081373,152.848698836583,-0.708198038283579,1.75232638876118e-27,0.482021580240042,46.9302697563943,48.2594966228584,46.6532012089806,48.0286459664141
"6","percent_n",1.18483616133511,1.1428699392603,0.0306802473760388,0.0423393678674417,17.3721920329104,50.2102824571618,38.6188594509333,-0.991186788763649,2.73933663032442e-18,0.32634714794022,1.11918256983488,1.25048975283534,1.07350486790288,1.21223501061772
"7","cn",40.9733224528233,41.9082255931779,1.09619098166793,1.53731998193425,16.8919641336306,49.2784221942343,37.377905071322,0.608138286980629,1.1074759859248e-17,0.54588860283111,38.6249897335092,43.3216551721375,39.4211230492848,44.3953281370711
"8","sla_22",46.2964228120599,42.7591606929486,1.45449847098669,2.12448020044348,18.1159511241147,46.6556901133642,31.8298188245283,-1.66500121694371,2.34898249367332e-17,0.102614825486774,43.1689468632469,49.4238987608728,39.4246270223398,46.0936943635574
"9","age",73.9565217391305,94.2,3.66260587417484,5.82956778273496,35.9999999998666,36.0000000000345,20.1923232473907,3.47255217116152,3.18750516436189e-21,0.00135906652948661,65.8195784656582,82.0934650126027,84.4060121307674,103.993987869233
"10","chlor_a_fw_22",951.805040348765,894.525264374058,70.085868648005,49.0854571389394,12.0901700408999,45.4208328163034,13.5805556627835,-1.16693984967019,1.10427033437467e-08,0.249324809379081,799.289117776515,1104.32096292101,740.531522020472,1048.51900672765
"11","chlor_b_fw_22",450.132704348971,448.787945398427,20.7262898265442,21.1749846661561,14.6468806045432,49.6319770737732,21.7179585982864,-0.0635069621889296,1.50406802170237e-12,0.949617901387124,405.737473167068,494.527935530875,403.266969394408,494.308921402446
"12","total_chl_fw_22",1402.12039751049,1342.78871234477,89.3004801758038,68.7810330946173,12.5534653869337,46.1969506090758,15.7011518275172,-0.862616952613917,1.26288924203654e-09,0.392804218678801,1208.53009384571,1595.71070117527,1146.82228839717,1538.75513629238
"13","xc_fw_22",53.8276244423305,53.766683565555,1.95358927898961,2.11666873470147,15.647141455012,50.5689180632936,27.5531940215038,-0.0287909372763072,1.10297974628818e-14,0.977144655052753,49.6515427583488,58.0037061263122,49.4670262626927,58.0663408684172
"14","chla_chlb_22",2.08099447266633,1.9877124548954,0.0793935352627939,0.048676776895246,11.6412087812394,44.6179307165268,26.2111325031465,-1.9163556776094,1.02831459961884e-11,0.0617393380204791,1.90740706399958,2.25458188133308,1.81290787223428,2.16251703755651
"15","chl_xc_22",25.9758136655539,24.7303159770706,1.1348828423121,0.704078612777821,11.6379090462781,44.6530793189127,22.8885420565821,-1.76897531877786,4.86845914658136e-11,0.0837280111212787,23.4954480866798,28.456179244428,22.2320576957015,27.2285742584396
"16","leaf_d13c",-28.3754770783538,-28.6754092595711,0.280805108406699,0.311840914899207,16.2609197180148,50.9496027375688,-101.050430454622,-0.961811509930294,3.4349174635365e-24,0.340686979470153,-28.9753161327586,-27.775638023949,-29.2941918811803,-28.0566266379618
"17","leaf_d15n",-3.10496834029973,-3.16277323587735,0.296804239230646,0.289224565251532,14.5160723603128,49.0232150518843,-10.4613342058328,-0.199861638748955,3.77486140324213e-08,0.842415545793489,-3.74190731342924,-2.46802936717021,-3.81398651952931,-2.5115599522254
"18","leaf_d18o_corrected",19.8054161104967,19.6515902514683,0.468361726951048,0.320912126313677,12.1259928884271,45.3457529787021,42.2865810138383,-0.479339502671238,1.5341033705616e-14,0.63400085714778,18.7853551558094,20.825477065184,18.6221636999856,20.6810168029511
"19","mean_1980",845.142819467717,1105.17771668495,145.677853367289,187.116241261819,13.8399055175518,34.8915580028171,5.80145025432868,1.38969709664797,4.80603861243445e-05,0.173425108191983,523.928451039447,1166.35718789599,751.541286247608,1458.81414712229
"20","mean_05",774.432172063138,665.580559619975,98.1846488951108,129.716185601383,13.8517028182276,34.0380653764636,7.88750767841979,-0.839152122293078,1.73053000019983e-06,0.407239051031684,557.121548528417,991.74279559786,420.117752911941,911.04336632801
"21","Rt12",0.805744499354767,0.867433389110107,0.04259453217565,0.0502303392663711,11.7938860371211,32.3984059488908,18.9166181244123,1.22812010940648,3.47082231919416e-10,0.228249503549798,0.711601034439304,0.899887964270229,0.764832775237206,0.970034002983008
