"","plot_id","year","Tmin","Tmax","Prcp"
"1","ADO01",1950,3.4833698630137,15.6234520547945,336.59
"2","ADO01",1951,2.39947945205479,13.3076164383562,646.14
"3","ADO01",1952,2.20614754098361,14.7448087431694,502.06
"4","ADO01",1953,3.10567123287671,15.1317260273973,335.74
"5","ADO01",1954,2.7458904109589,14.6279178082192,380.61
"6","ADO01",1955,4.48361643835616,15.3264383561644,629.26
"7","ADO01",1956,2.03806010928962,13.4033333333333,484.91
"8","ADO01",1957,2.79082191780822,14.675397260274,505.33
"9","ADO01",1958,3.75117808219178,14.769397260274,439.74
"10","ADO01",1959,3.97808219178082,14.1194246575342,724.32
"11","ADO01",1960,3.60459016393443,14.1937978142077,729.47
"12","ADO01",1961,2.00668493150685,16.3674794520548,522.75
"13","ADO01",1962,1.45479452054795,15.2040273972603,568
"14","ADO01",1963,1.23769863013699,13.9901369863014,707.51
"15","ADO01",1964,1.32565573770492,15.7807103825137,517.65
"16","ADO01",1965,1.33443835616438,14.8004109589041,572.34
"17","ADO01",1966,1.95819178082192,14.9881643835616,605.98
"18","ADO01",1967,0.883315068493151,15.4229863013699,450.61
"19","ADO01",1968,1.6107650273224,15.1140163934426,522.61
"20","ADO01",1969,1.1887397260274,13.2327123287671,861.37
"21","ADO01",1970,0.634246575342466,14.902904109589,521.35
"22","ADO01",1971,0.64627397260274,13.3191780821918,808.04
"23","ADO01",1972,1.12560109289617,12.9763114754098,662.21
"24","ADO01",1973,0.795616438356164,14.8025205479452,453.27
"25","ADO01",1974,1.19057534246575,14.2690684931507,573.84
"26","ADO01",1975,1.14019178082192,14.3971780821918,650.86
"27","ADO01",1976,0.980491803278689,14.307650273224,643.81
"28","ADO01",1977,1.65295890410959,14.1574520547945,693.28
"29","ADO01",1978,0.956821917808219,14.6735616438356,499.98
"30","ADO01",1979,1.97383561643836,14.6584657534247,688.17
"31","ADO01",1980,0.75516393442623,15.0484699453552,465.81
"32","ADO01",1981,1.15854794520548,16.0739726027397,439.29
"33","ADO01",1982,2.2353698630137,15.356904109589,580.24
"34","ADO01",1983,1.61772602739726,16.2875616438356,353.56
"35","ADO01",1984,1.15409836065574,14.1541803278689,594.92
"36","ADO01",1985,2.18457534246575,15.5038356164384,437.11
"37","ADO01",1986,2.06602739726027,14.949095890411,586.93
"38","ADO01",1987,2.76575342465753,15.6506575342466,537.19
"39","ADO01",1988,1.85573770491803,15.4920218579235,596.61
"40","ADO01",1989,2.91819178082192,16.2028493150685,595.66
"41","ADO01",1990,2.51709589041096,16.1704109589041,419.58
"42","ADO01",1991,1.81084931506849,14.9935890410959,521.18
"43","ADO01",1992,1.28674863387978,15.4192076502732,401.84
"44","ADO01",1993,0.977260273972603,15.0181369863014,477.07
"45","ADO01",1994,2.38802739726027,16.938904109589,363.99
"46","ADO01",1995,2.12465753424658,16.4887945205479,467.36
"47","ADO01",1996,1.88371584699454,15.1621038251366,665.89
"48","ADO01",1997,2.80904109589041,16.3555616438356,617.8
"49","ADO01",1998,1.98145205479452,15.9230410958904,463.55
"50","ADO01",1999,1.9553698630137,15.447397260274,545.93
"51","ADO01",2000,1.62368852459016,16.1739617486339,475.49
"52","ADO01",2001,2.04257534246575,15.9038904109589,343.33
"53","ADO01",2002,2.78671232876712,15.8374246575342,634.53
"54","ADO01",2003,2.88934246575342,16.1331506849315,603.65
"55","ADO01",2004,1.97926229508197,15.7573770491803,518.06
"56","ADO01",2005,1.50616438356164,16.3608767123288,359.12
"57","ADO01",2006,3.12065753424658,16.9076712328767,513.32
"58","ADO01",2007,1.87452054794521,15.9144931506849,459.91
"59","ADO01",2008,2.16232240437158,15.4047267759563,655.45
"60","ADO01",2009,2.94391780821918,17.0662739726027,439.58
"61","ADO01",2010,2.46969863013699,15.0686575342466,666.02
"62","ADO01",2011,2.96917808219178,17.234602739726,453.15
"63","ADO01",2012,2.15833333333333,16.4506284153005,425.63
"64","ADO01",2013,2.17994520547945,15.1492876712329,585.46
"65","ADO01",2014,3.32887671232877,16.5344657534247,535.52
"66","ADO01",2015,3.10241095890411,17.4947945205479,415.88
"67","ADO01",2016,3.01478142076503,16.7255464480874,491.03
"68","ADO01",2017,2.62794520547945,18.0362739726027,341.99
