"","full_model","null_model","variable","delta_aicc"
"1",611.303626512073,613.330344547522,"height",-2.02671803544922
"2",983.493124281261,985.228136622093,"dbh",-1.73501234083199
"3",956.755104852101,954.734251525325,"hegyi_index",2.02085332677643
"4",752.772495972968,762.494935624424,"wc_22",-9.72243965145651
"5",525.439165456006,523.334092302163,"percent_c",2.10507315384325
"6",81.831022143,80.9513902240259,"percent_n",0.879631918974141
"7",870.914126350095,869.845374751407,"cn",1.06875159868821
"8",834.452034279288,833.661887842797,"sla_22",0.790146436490772
"9",1318.50803829487,1340.73643365877,"age",-22.2283953639007
"10",1855.68299970613,1867.05332003808,"chlor_a_fw_22",-11.370320331951
"11",1613.07367693616,1616.4517132569,"chlor_b_fw_22",-3.37803632073815
"12",1948.87908221977,1958.07740708671,"total_chl_fw_22",-9.19832486694372
"13",943.389162423257,944.567726936388,"xc_fw_22",-1.17856451313128
"14",-18.7708948892294,-12.3975207667013,"chla_chlb_22",-6.37337412252806
"15",699.943662025462,714.599777372608,"chl_xc_22",-14.6561153471463
"16",-176.051855994556,-176.514957586187,"d13c_centered",0.463101591630874
"17",-103.566026976112,-104.089913528489,"d15n_centered",0.523886552377448
"18",-143.380075764549,-145.397519992455,"d18o_centered",2.017444227906
"19",1904.65325094216,1906.36629499067,"mean_1980",-1.7130440485098
"20",1898.97506638417,1910.87479635984,"mean_05",-11.8997299756727
"21",-11.4825675970415,-11.2583064264162,"Rt12",-0.224261170625255
"22",53.4449910161963,67.7893414367717,"Rt17",-14.3443504205754
"23",45.4811348458405,43.9934904228127,"Rt22",1.48764442302779
"24",-77.4693868846743,-74.4355361747141,"Rs12",-3.03385070996013
"25",165.116485824947,166.648313204575,"Rs17",-1.53182737962831
